,,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
1989-06-30,SMB,,,,,,
1989-06-30,HML,,,,,,
1989-06-30,RMW,,,,,,
1989-06-30,CMA,,,,,,
1989-06-30,MOM,,,,,,
1989-07-31,Mkt_minus_RF,,,,,,
1989-07-31,SMB,,,,,,
1989-07-31,HML,,,,,,
1989-07-31,RMW,,,,,,
1989-07-31,CMA,,,,,,
1989-07-31,MOM,,,,,,
1989-08-31,Mkt_minus_RF,,,,,,
1989-08-31,SMB,,,,,,
1989-08-31,HML,,,,,,
1989-08-31,RMW,,,,,,
1989-08-31,CMA,,,,,,
1989-08-31,MOM,,,,,,
1989-09-30,Mkt_minus_RF,,,,,,
1989-09-30,SMB,,,,,,
1989-09-30,HML,,,,,,
1989-09-30,RMW,,,,,,
1989-09-30,CMA,,,,,,
1989-09-30,MOM,,,,,,
1989-10-31,Mkt_minus_RF,,,,,,
1989-10-31,SMB,,,,,,
1989-10-31,HML,,,,,,
1989-10-31,RMW,,,,,,
1989-10-31,CMA,,,,,,
1989-10-31,MOM,,,,,,
1989-11-30,Mkt_minus_RF,,,,,,
1989-11-30,SMB,,,,,,
1989-11-30,HML,,,,,,
1989-11-30,RMW,,,,,,
1989-11-30,CMA,,,,,,
1989-11-30,MOM,,,,,,
1989-12-31,Mkt_minus_RF,,,,,,
1989-12-31,SMB,,,,,,
1989-12-31,HML,,,,,,
1989-12-31,RMW,,,,,,
1989-12-31,CMA,,,,,,
1989-12-31,MOM,,,,,,
1990-01-31,Mkt_minus_RF,,,,,,
1990-01-31,SMB,,,,,,
1990-01-31,HML,,,,,,
1990-01-31,RMW,,,,,,
1990-01-31,CMA,,,,,,
1990-01-31,MOM,,,,,,
1990-02-28,Mkt_minus_RF,,,,,,
1990-02-28,SMB,,,,,,
1990-02-28,HML,,,,,,
1990-02-28,RMW,,,,,,
1990-02-28,CMA,,,,,,
1990-02-28,MOM,,,,,,
1990-03-31,Mkt_minus_RF,,,,,,
1990-03-31,SMB,,,,,,
1990-03-31,HML,,,,,,
1990-03-31,RMW,,,,,,
1990-03-31,CMA,,,,,,
1990-03-31,MOM,,,,,,
1990-04-30,Mkt_minus_RF,,,,,,
1990-04-30,SMB,,,,,,
1990-04-30,HML,,,,,,
1990-04-30,RMW,,,,,,
1990-04-30,CMA,,,,,,
1990-04-30,MOM,,,,,,
1990-05-31,Mkt_minus_RF,,,,,,
1990-05-31,SMB,,,,,,
1990-05-31,HML,,,,,,
1990-05-31,RMW,,,,,,
1990-05-31,CMA,,,,,,
1990-05-31,MOM,,,,,,
1990-06-30,Mkt_minus_RF,,,,,,
1990-06-30,SMB,,,,,,
1990-06-30,HML,,,,,,
1990-06-30,RMW,,,,,,
1990-06-30,CMA,,,,,,
1990-06-30,MOM,,,,,,
1990-07-31,Mkt_minus_RF,,,,,,
1990-07-31,SMB,,,,,,
1990-07-31,HML,,,,,,
1990-07-31,RMW,,,,,,
1990-07-31,CMA,,,,,,
1990-07-31,MOM,,,,,,
1990-08-31,Mkt_minus_RF,,,,,,
1990-08-31,SMB,,,,,,
1990-08-31,HML,,,,,,
1990-08-31,RMW,,,,,,
1990-08-31,CMA,,,,,,
1990-08-31,MOM,,,,,,
1990-09-30,Mkt_minus_RF,,,,,,
1990-09-30,SMB,,,,,,
1990-09-30,HML,,,,,,
1990-09-30,RMW,,,,,,
1990-09-30,CMA,,,,,,
1990-09-30,MOM,,,,,,
1990-10-31,Mkt_minus_RF,,,,,,
1990-10-31,SMB,,,,,,
1990-10-31,HML,,,,,,
1990-10-31,RMW,,,,,,
1990-10-31,CMA,,,,,,
1990-10-31,MOM,,,,,,
1990-11-30,Mkt_minus_RF,,,,,,
1990-11-30,SMB,,,,,,
1990-11-30,HML,,,,,,
1990-11-30,RMW,,,,,,
1990-11-30,CMA,,,,,,
1990-11-30,MOM,,,,,,
1990-12-31,Mkt_minus_RF,,,,,,
1990-12-31,SMB,,,,,,
1990-12-31,HML,,,,,,
1990-12-31,RMW,,,,,,
1990-12-31,CMA,,,,,,
1990-12-31,MOM,,,,,,
1991-01-31,Mkt_minus_RF,,,,,,
1991-01-31,SMB,,,,,,
1991-01-31,HML,,,,,,
1991-01-31,RMW,,,,,,
1991-01-31,CMA,,,,,,
1991-01-31,MOM,,,,,,
1991-02-28,Mkt_minus_RF,,,,,,
1991-02-28,SMB,,,,,,
1991-02-28,HML,,,,,,
1991-02-28,RMW,,,,,,
1991-02-28,CMA,,,,,,
1991-02-28,MOM,,,,,,
1991-03-31,Mkt_minus_RF,,,,,,
1991-03-31,SMB,,,,,,
1991-03-31,HML,,,,,,
1991-03-31,RMW,,,,,,
1991-03-31,CMA,,,,,,
1991-03-31,MOM,,,,,,
1991-04-30,Mkt_minus_RF,,,,,,
1991-04-30,SMB,,,,,,
1991-04-30,HML,,,,,,
1991-04-30,RMW,,,,,,
1991-04-30,CMA,,,,,,
1991-04-30,MOM,,,,,,
1991-05-31,Mkt_minus_RF,,,,,,
1991-05-31,SMB,,,,,,
1991-05-31,HML,,,,,,
1991-05-31,RMW,,,,,,
1991-05-31,CMA,,,,,,
1991-05-31,MOM,,,,,,
1991-06-30,Mkt_minus_RF,,,,,,
1991-06-30,SMB,,,,,,
1991-06-30,HML,,,,,,
1991-06-30,RMW,,,,,,
1991-06-30,CMA,,,,,,
