,,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
2000-02-29,Mkt_minus_RF,18.09692912429378,1.4255846892655362,-6.056258785310733,-2.6467318926553673,-7.179575254237288,1.5502429378531073
2000-02-29,SMB,1.4255846892655362,16.863282598870057,-5.867937231638419,-9.216761073446328,-2.0087376271186437,3.8173468926553666
2000-02-29,HML,-6.056258785310733,-5.867937231638419,9.483854548022599,6.079275112994349,5.154207457627119,-6.633500564971751
2000-02-29,RMW,-2.6467318926553673,-9.216761073446328,6.079275112994349,9.95265115819209,1.7275061016949151,-6.58089265536723
2000-02-29,CMA,-7.179575254237288,-2.0087376271186437,5.154207457627119,1.7275061016949151,5.934907796610169,-2.7850779661016944
2000-02-29,MOM,1.5502429378531073,3.8173468926553666,-6.633500564971751,-6.58089265536723,-2.7850779661016944,16.731314124293778
2000-03-31,Mkt_minus_RF,18.308521920903953,0.5075481355932197,-5.520827401129942,-1.9116047457627117,-7.279046045197741,1.0498702824858757
2000-03-31,SMB,0.5075481355932197,20.772323050847458,-8.078600847457627,-12.342527457627119,-1.5960838983050845,5.982407118644067
2000-03-31,HML,-5.520827401129942,-8.078600847457627,10.668089124293784,7.842749152542372,4.9312230225988705,-7.890720056497174
2000-03-31,RMW,-1.9116047457627117,-12.342527457627119,7.842749152542372,12.451821016949152,1.3982033898305082,-8.314232881355933
2000-03-31,CMA,-7.279046045197741,-1.5960838983050845,4.9312230225988705,1.3982033898305082,5.97683488700565,-2.5513590395480223
2000-03-31,MOM,1.0498702824858757,5.982407118644067,-7.890720056497174,-8.314232881355933,-2.5513590395480223,17.91411988700565
2000-04-30,Mkt_minus_RF,19.381767542372877,1.1401994067796604,-6.552740677966101,-2.9743668644067798,-8.055215254237288,2.3784894915254235
2000-04-30,SMB,1.1401994067796604,21.144495225988702,-8.678054802259886,-12.965049802259886,-2.0489033898305085,6.7644037288135594
2000-04-30,HML,-6.552740677966101,-8.678054802259886,11.557578531073444,8.818673446327683,5.622715254237288,-9.154327118644067
2000-04-30,RMW,-2.9743668644067798,-12.965049802259886,8.818673446327683,13.483676242937854,2.142296610169491,-9.623684067796608
2000-04-30,CMA,-8.055215254237288,-2.0489033898305085,5.622715254237288,2.142296610169491,6.508928813559322,-3.504827118644068
2000-04-30,MOM,2.3784894915254235,6.7644037288135594,-9.154327118644067,-9.623684067796608,-3.504827118644068,19.557010847457626
2000-05-31,Mkt_minus_RF,19.928534322033894,1.5291652542372873,-7.109091525423727,-3.407306355932203,-8.182855084745764,3.4431694915254236
2000-05-31,SMB,1.5291652542372873,21.29206768361582,-8.894938870056496,-13.19985429378531,-2.1234132203389833,7.315124858757061
2000-05-31,HML,-7.109091525423727,-8.894938870056496,11.875838870056496,9.15781276836158,5.730021694915253,-9.951335028248588
2000-05-31,RMW,-3.407306355932203,-13.19985429378531,9.15781276836158,13.785008446327682,2.234130677966102,-10.34958079096045
2000-05-31,CMA,-8.182855084745764,-2.1234132203389833,5.730021694915253,2.234130677966102,6.536670169491525,-3.7272949152542374
2000-05-31,MOM,3.4431694915254236,7.315124858757061,-9.951335028248588,-10.34958079096045,-3.7272949152542374,21.299381920903954
2000-06-30,Mkt_minus_RF,20.07702516949152,2.0170266949152533,-7.508719237288135,-3.8535474576271183,-8.29005533898305,4.245714999999999
2000-06-30,SMB,2.0170266949152533,22.882200988700564,-10.191542231638419,-14.615714689265536,-2.495898446327683,9.87732556497175
2000-06-30,HML,-7.508719237288135,-10.191542231638419,12.930298615819206,10.294129378531071,6.0446149435028245,-12.015322062146891
2000-06-30,RMW,-3.8535474576271183,-14.615714689265536,10.294129378531071,14.92751073446328,2.6364214689265535,-12.466890960451979
2000-06-30,CMA,-8.29005533898305,-2.495898446327683,6.0446149435028245,2.6364214689265535,6.581715564971752,-4.425542344632769
2000-06-30,MOM,4.245714999999999,9.87732556497175,-12.015322062146891,-12.466890960451979,-4.425542344632769,25.200081666666662
2000-07-31,Mkt_minus_RF,20.237016497175137,1.969252768361581,-8.006745762711862,-4.260987231638417,-8.411297966101694,4.298701581920904
2000-07-31,SMB,1.969252768361581,22.794224039548023,-10.237303813559322,-14.706439435028246,-2.462181949152542,9.850279717514123
2000-07-31,HML,-8.006745762711862,-10.237303813559322,14.110666525423726,11.158442372881353,6.4172927966101705,-12.2016093220339
2000-07-31,RMW,-4.260987231638417,-14.706439435028246,11.158442372881353,15.5239202259887,2.94001627118644,-12.62514384180791
2000-07-31,CMA,-8.411297966101694,-2.462181949152542,6.4172927966101705,2.94001627118644,6.6735336440677955,-4.465968983050847
2000-07-31,MOM,4.298701581920904,9.850279717514123,-12.2016093220339,-12.62514384180791,-4.465968983050847,25.216397853107342
2000-08-31,Mkt_minus_RF,20.769767683615818,1.932112768361581,-8.087306101694915,-4.576556723163841,-8.294707570621469,4.690319322033898
2000-08-31,SMB,1.932112768361581,22.727445310734467,-10.326327457627118,-14.629308926553671,-2.5281038418079094,9.846908983050847
2000-08-31,HML,-8.087306101694915,-10.326327457627118,13.993729830508471,11.281377627118642,6.320813220338983,-12.228179491525424
2000-08-31,RMW,-4.576556723163841,-14.629308926553671,11.281377627118642,15.66702836158192,2.916887683615819,-12.876133389830507
2000-08-31,CMA,-8.294707570621469,-2.5281038418079094,6.320813220338983,2.916887683615819,6.650897853107344,-4.360327457627118
2000-08-31,MOM,4.690319322033898,9.846908983050847,-12.228179491525424,-12.876133389830507,-4.360327457627118,25.496015
2000-09-30,Mkt_minus_RF,21.484307796610167,1.9208471186440668,-8.92620813559322,-4.921553220338983,-8.923908813559322,4.589028813559322
2000-09-30,SMB,1.9208471186440668,22.69320844632768,-10.257475112994351,-14.575420536723163,-2.4722265819209035,9.887307627118643
2000-09-30,HML,-8.92620813559322,-10.257475112994351,14.88872709039548,11.608108107344632,6.985240706214689,-12.171977118644069
2000-09-30,RMW,-4.921553220338983,-14.575420536723163,11.608108107344632,15.765393531073446,3.1559817231638414,-12.881853389830507
2000-09-30,CMA,-8.923908813559322,-2.4722265819209035,6.985240706214689,3.1559817231638414,7.143581327683615,-4.3229500000000005
2000-09-30,MOM,4.589028813559322,9.887307627118643,-12.171977118644069,-12.881853389830507,-4.3229500000000005,25.46662542372881
2000-10-31,Mkt_minus_RF,21.627293107344627,1.9034291525423719,-9.33800372881356,-5.486395706214689,-9.182257740112995,5.120441016949152
2000-10-31,SMB,1.9034291525423719,22.550273983050847,-10.512629915254236,-14.830833220338981,-2.6300149152542365,10.290799830508476
2000-10-31,HML,-9.33800372881356,-10.512629915254236,15.432050254237287,12.552419661016948,7.330923389830508,-12.716899830508474
2000-10-31,RMW,-5.486395706214689,-14.830833220338981,12.552419661016948,17.272047005649718,3.753531412429378,-13.934570508474579
2000-10-31,CMA,-9.182257740112995,-2.6300149152542365,7.330923389830508,3.753531412429378,7.3634388700564966,-4.672206440677965
2000-10-31,MOM,5.120441016949152,10.290799830508476,-12.716899830508474,-13.934570508474579,-4.672206440677965,25.930256610169494
2000-11-30,Mkt_minus_RF,23.871093785310737,1.997494350282485,-11.795673446327681,-8.04730395480226,-10.845845762711862,5.951742937853108
2000-11-30,SMB,1.997494350282485,22.541950734463278,-10.56741299435028,-14.903783502824858,-2.658913559322033,10.282718757062147
2000-11-30,HML,-11.795673446327681,-10.56741299435028,17.934202259887,15.222083615819209,8.99243220338983,-13.458578531073446
2000-11-30,RMW,-8.04730395480226,-14.903783502824858,15.222083615819209,20.098359632768364,5.537661440677966,-14.762932598870057
2000-11-30,CMA,-10.845845762711862,-2.658913559322033,8.99243220338983,5.537661440677966,8.460859745762713,-5.145604237288135
2000-11-30,MOM,5.951742937853108,10.282718757062147,-13.458578531073446,-14.762932598870057,-5.145604237288135,26.08799310734463
2000-12-31,Mkt_minus_RF,23.871647005649717,2.0080618079096038,-11.773161694915254,-8.042283502824858,-10.833277627118646,5.967909491525424
2000-12-31,SMB,2.0080618079096038,22.738047344632772,-10.12759033898305,-14.789609378531072,-2.440651016949152,10.586444406779663
2000-12-31,HML,-11.773161694915254,-10.12759033898305,18.833548559322033,15.395253559322033,9.541001779661016,-12.792068813559322
2000-12-31,RMW,-8.042283502824858,-14.789609378531072,15.395253559322033,20.085938531073445,5.720915593220339,-14.600093898305085
2000-12-31,CMA,-10.833277627118646,-2.440651016949152,9.541001779661016,5.720915593220339,8.663798050847456,-4.797578305084746
2000-12-31,MOM,5.967909491525424,10.586444406779663,-12.792068813559322,-14.600093898305085,-4.797578305084746,26.55593627118644
2001-01-31,Mkt_minus_RF,23.921146073446327,2.2619637288135586,-11.96852418079096,-8.218543050847458,-11.065923615819209,5.032887005649718
2001-01-31,SMB,2.2619637288135586,23.194097627118644,-10.650631525423728,-15.274476949152543,-2.8762230508474573,8.003154237288134
2001-01-31,HML,-11.96852418079096,-10.650631525423728,19.333435480225987,15.853602372881355,10.030275028248589,-10.354299435028247
2001-01-31,RMW,-8.218543050847458,-15.274476949152543,15.853602372881355,20.505894237288135,6.17396,-12.366781355932202
2001-01-31,CMA,-11.065923615819209,-2.8762230508474573,10.030275028248589,6.17396,9.078754124293786,-2.3842717514124296
2001-01-31,MOM,5.032887005649718,8.003154237288134,-10.354299435028247,-12.366781355932202,-2.3842717514124296,38.43240903954803
2001-02-28,Mkt_minus_RF,25.96144505649717,1.7014021186440669,-14.204761581920904,-9.855243361581921,-12.667655790960453,2.8948567796610174
2001-02-28,SMB,1.7014021186440669,23.28017093220339,-10.000670169491526,-14.83327161016949,-2.3701946610169493,8.592362881355932
2001-02-28,HML,-14.204761581920904,-10.000670169491526,21.76580836158192,17.65191581920904,11.75129672316384,-8.011885423728812
2001-02-28,RMW,-9.855243361581921,-14.83327161016949,17.65191581920904,21.817777259887,7.467071045197739,-10.65145847457627
2001-02-28,CMA,-12.667655790960453,-2.3701946610169493,11.75129672316384,7.467071045197739,10.272149463276834,-0.7075594915254237
2001-02-28,MOM,2.8948567796610174,8.592362881355932,-8.011885423728812,-10.65145847457627,-0.7075594915254237,40.672804406779655
2001-03-31,Mkt_minus_RF,27.05366,1.3707127118644058,-15.000597457627116,-10.257062542372882,-13.133675084745763,1.8995886440677963
2001-03-31,SMB,1.3707127118644058,23.330900423728817,-9.752502118644065,-14.740667372881356,-2.1869216101694904,8.984083474576272
2001-03-31,HML,-15.000597457627116,-9.752502118644065,22.34463601694915,17.94894194915254,12.084699576271186,-7.299888559322033
2001-03-31,RMW,-10.257062542372882,-14.740667372881356,17.94894194915254,21.948513531073445,7.663326073446328,-10.232139350282484
2001-03-31,CMA,-13.133675084745763,-2.1869216101694904,12.084699576271186,7.663326073446328,10.434973192090396,-0.36008307909604503
2001-03-31,MOM,1.8995886440677963,8.984083474576272,-7.299888559322033,-10.232139350282484,-0.36008307909604503,41.41433929378531
2001-04-30,Mkt_minus_RF,27.9007786440678,1.1761725423728802,-15.543156101694915,-10.667319322033897,-13.527712711864408,0.8290652542372886
2001-04-30,SMB,1.1761725423728802,22.93931683615819,-9.306783389830507,-14.65496463276836,-1.9253163841807905,9.27238870056497
2001-04-30,HML,-15.543156101694915,-9.306783389830507,22.455762118644067,18.217967118644065,12.211117372881358,-6.645498728813559
2001-04-30,RMW,-10.667319322033897,-14.65496463276836,18.217967118644065,22.147033446327683,7.85749604519774,-9.71285988700565
2001-04-30,CMA,-13.527712711864408,-1.9253163841807905,12.211117372881358,7.85749604519774,10.551143361581921,0.12121709039548045
2001-04-30,MOM,0.8290652542372886,9.27238870056497,-6.645498728813559,-9.71285988700565,0.12121709039548045,42.76305183615819
2001-05-31,Mkt_minus_RF,27.85882429378531,1.0811830508474565,-15.506774011299434,-10.660511299435028,-13.506990677966101,0.8195604519774011
2001-05-31,SMB,1.0811830508474565,22.985588813559325,-9.046413559322032,-14.647603389830508,-1.790929322033898,9.317369152542375
2001-05-31,HML,-15.506774011299434,-9.046413559322032,22.545444632768362,18.206578531073447,12.25272288135593,-6.591963276836159
2001-05-31,RMW,-10.660511299435028,-14.647603389830508,18.206578531073447,22.14617683615819,7.851438135593219,-9.713366666666666
2001-05-31,CMA,-13.506990677966101,-1.790929322033898,12.25272288135593,7.851438135593219,10.570184491525424,0.14816932203389854
2001-05-31,MOM,0.8195604519774011,9.317369152542375,-6.591963276836159,-9.713366666666666,0.14816932203389854,42.7778202259887
2001-06-30,Mkt_minus_RF,27.92133276836158,0.6607056497175132,-15.370239548022596,-10.615712146892655,-13.391670903954802,0.8503954802259889
2001-06-30,SMB,0.6607056497175132,23.52736429378531,-9.146043954802257,-14.317274350282483,-1.9787070056497171,9.207002937853108
2001-06-30,HML,-15.370239548022596,-9.146043954802257,22.550477853107346,18.078241299435025,12.294080734463277,-6.559363954802259
2001-06-30,RMW,-10.615712146892655,-14.317274350282483,18.078241299435025,22.003784717514122,7.771668672316384,-9.71807790960452
2001-06-30,CMA,-13.391670903954802,-1.9787070056497171,12.294080734463277,7.771668672316384,10.631760988700565,0.1801016384180793
2001-06-30,MOM,0.8503954802259889,9.207002937853108,-6.559363954802259,-9.71807790960452,0.1801016384180793,42.788911751412435
2001-07-31,Mkt_minus_RF,27.291269039548023,0.3649089265536714,-15.079797909604519,-10.669506892655365,-13.278347401129944,0.47332983050847477
2001-07-31,SMB,0.3649089265536714,23.4174215819209,-9.074381751412428,-14.488150734463277,-1.965957683615819,8.908976949152542
2001-07-31,HML,-15.079797909604519,-9.074381751412428,22.561276242937854,18.42872276836158,12.332314887005651,-6.114919322033899
2001-07-31,RMW,-10.669506892655365,-14.488150734463277,18.42872276836158,22.732306327683613,7.9849993785310724,-9.141087457627117
2001-07-31,CMA,-13.278347401129944,-1.965957683615819,12.332314887005651,7.9849993785310724,10.667952853107344,0.4171488135593222
2001-07-31,MOM,0.47332983050847477,8.908976949152542,-6.114919322033899,-9.141087457627117,0.4171488135593222,43.069458305084744
2001-08-31,Mkt_minus_RF,28.101762118644068,-0.05442372881356019,-15.233581440677966,-11.080838644067796,-13.904514830508473,0.010703728813559488
2001-08-31,SMB,-0.05442372881356019,23.429955932203384,-8.937986440677964,-14.286991525423728,-1.5604457627118642,9.159423728813557
2001-08-31,HML,-15.233581440677966,-8.937986440677964,22.5746556779661,18.510009491525423,12.428453813559322,-6.03022440677966
2001-08-31,RMW,-11.080838644067796,-14.286991525423728,18.510009491525423,22.940395932203394,8.307433898305083,-8.90566847457627
2001-08-31,CMA,-13.904514830508473,-1.5604457627118642,12.428453813559322,8.307433898305083,11.119185169491525,0.7701372881355932
2001-08-31,MOM,0.010703728813559488,9.159423728813557,-6.03022440677966,-8.90566847457627,0.7701372881355932,43.3329213559322
2001-09-30,Mkt_minus_RF,29.392251836158195,0.9936477401129935,-15.097127966101693,-11.88186963276836,-14.09715324858757,-1.7422053672316382
2001-09-30,SMB,0.9936477401129935,23.94837751412429,-9.08808813559322,-14.70219451977401,-1.8681492090395477,8.222447570621467
2001-09-30,HML,-15.097127966101693,-9.08808813559322,22.38449661016949,18.609849999999998,12.289488983050846,-5.833994915254237
2001-09-30,RMW,-11.88186963276836,-14.70219451977401,18.609849999999998,23.27115420903955,8.533982570621468,-8.161792259887005
2001-09-30,CMA,-14.09715324858757,-1.8681492090395477,12.289488983050846,8.533982570621468,11.079193531073445,1.252997683615819
2001-09-30,MOM,-1.7422053672316382,8.222447570621467,-5.833994915254237,-8.161792259887005,1.252997683615819,45.00226225988701
2001-10-31,Mkt_minus_RF,29.458195338983046,1.2005351694915245,-15.41101779661017,-12.00782288135593,-14.293831355932202,-2.0976898305084744
2001-10-31,SMB,1.2005351694915245,24.179050254237286,-9.555446610169493,-14.958865593220338,-2.1718835593220334,7.484522033898305
2001-10-31,HML,-15.41101779661017,-9.555446610169493,23.238733898305085,19.038123728813563,12.838213559322034,-4.6085491525423725
2001-10-31,RMW,-12.00782288135593,-14.958865593220338,19.038123728813563,23.465889152542374,8.805937966101693,-7.607710169491526
2001-10-31,CMA,-14.293831355932202,-2.1718835593220334,12.838213559322034,8.805937966101693,11.431173898305085,2.0306677966101696
2001-10-31,MOM,-2.0976898305084744,7.484522033898305,-4.6085491525423725,-7.607710169491526,2.0306677966101696,46.578261016949156
2001-11-30,Mkt_minus_RF,29.739229491525425,1.5334101694915243,-15.292991016949152,-12.670818983050847,-14.42405847457627,-2.9353901694915248
2001-11-30,SMB,1.5334101694915243,23.923205649717517,-9.511154802259886,-14.817465536723162,-2.2491824858757057,7.312320903954801
2001-11-30,HML,-15.292991016949152,-9.511154802259886,23.274271497175143,18.895819943502822,12.794826129943502,-4.839894463276835
2001-11-30,RMW,-12.670818983050847,-14.817465536723162,18.895819943502822,23.709057514124293,9.00347429378531,-6.8003424858757064
2001-11-30,CMA,-14.42405847457627,-2.2491824858757057,12.794826129943502,9.00347429378531,11.482411158192091,2.3217853107344637
2001-11-30,MOM,-2.9353901694915248,7.312320903954801,-4.839894463276835,-6.8003424858757064,2.3217853107344637,48.04093039548023
2001-12-31,Mkt_minus_RF,29.67697694915254,1.7420552542372874,-15.258728474576271,-12.671721016949151,-14.406590847457625,-2.979887796610169
2001-12-31,SMB,1.7420552542372874,24.185582457627117,-9.525430423728816,-14.819470508474575,-2.369566355932203,7.245045423728812
2001-12-31,HML,-15.258728474576271,-9.525430423728816,23.265929124293784,18.895790621468922,12.778745960451975,-4.8380334463276835
2001-12-31,RMW,-12.671721016949151,-14.819470508474575,18.895790621468922,23.709070734463275,9.004050734463279,-6.7998557062146885
2001-12-31,CMA,-14.406590847457625,-2.369566355932203,12.778745960451975,9.004050734463279,11.48148641242938,2.348187344632769
2001-12-31,MOM,-2.979887796610169,7.245045423728812,-4.8380334463276835,-6.7998557062146885,2.348187344632769,48.05782531073447
2002-01-31,Mkt_minus_RF,29.39480166666667,1.8613130225988694,-15.198770988700563,-12.870814293785312,-14.431396723163841,-3.115502005649717
2002-01-31,SMB,1.8613130225988694,24.136076242937854,-9.542128446327682,-14.715446158192089,-2.350634350282486,7.314433079096045
2002-01-31,HML,-15.198770988700563,-9.542128446327682,23.336495225988703,19.12972717514124,12.86545163841808,-4.692850367231638
2002-01-31,RMW,-12.870814293785312,-14.715446158192089,19.12972717514124,24.009418192090394,9.173876723163843,-6.627855536723163
2002-01-31,CMA,-14.431396723163841,-2.350634350282486,12.86545163841808,9.173876723163843,11.558911412429378,2.4500190960451973
2002-01-31,MOM,-3.115502005649717,7.314433079096045,-4.692850367231638,-6.627855536723163,2.4500190960451973,48.15519827683616
2002-02-28,Mkt_minus_RF,29.504744039548022,1.845483559322033,-15.192928870056498,-13.214439689265536,-14.592807005649718,-3.419499604519774
2002-02-28,SMB,1.845483559322033,24.006553559322032,-9.314631186440677,-14.783946610169492,-2.260341694915254,7.092511525423728
2002-02-28,HML,-15.192928870056498,-9.314631186440677,22.94122361581921,19.315852824858755,12.740709717514125,-4.248711073446328
2002-02-28,RMW,-13.214439689265536,-14.783946610169492,19.315852824858755,24.977821327683614,9.73838418079096,-5.915529096045198
2002-02-28,CMA,-14.592807005649718,-2.260341694915254,12.740709717514125,9.73838418079096,11.761771073446326,3.0314963841807914
2002-02-28,MOM,-3.419499604519774,7.092511525423728,-4.248711073446328,-5.915529096045198,3.0314963841807914,48.46018090395481
2002-03-31,Mkt_minus_RF,29.231645649717514,2.0301355932203378,-14.894530282485876,-13.366542824858756,-14.502996949152543,-3.659111186440678
2002-03-31,SMB,2.0301355932203378,24.262605084745765,-9.245049999999997,-14.940063559322034,-2.252924576271186,6.883169491525423
2002-03-31,HML,-14.894530282485876,-9.245049999999997,22.80847285310734,19.297574209039542,12.69112059322034,-4.251438644067797
2002-03-31,RMW,-13.366542824858756,-14.940063559322034,19.297574209039542,25.069163022598868,9.742077881355934,-5.796514237288136
2002-03-31,CMA,-14.502996949152543,-2.252924576271186,12.69112059322034,9.742077881355934,11.744426525423732,3.0438613559322034
2002-03-31,MOM,-3.659111186440678,6.883169491525423,-4.251438644067797,-5.796514237288136,3.0438613559322034,48.611992542372874
2002-04-30,Mkt_minus_RF,29.561884293785308,1.7969918644067786,-15.184753672316385,-13.918542033898305,-14.869262598870058,-4.466922711864407
2002-04-30,SMB,1.7969918644067786,24.29270779661017,-8.941844067796609,-14.227741355932203,-1.8997369491525422,7.905358983050847
2002-04-30,HML,-15.184753672316385,-8.941844067796609,22.991664971751412,19.546858474576272,12.943847740112993,-3.8718313559322035
2002-04-30,RMW,-13.918542033898305,-14.227741355932203,19.546858474576272,25.217950593220337,10.127350762711863,-5.530215169491525
2002-04-30,CMA,-14.869262598870058,-1.8997369491525422,12.943847740112993,10.127350762711863,12.084096581920905,3.62192093220339
2002-04-30,MOM,-4.466922711864407,7.905358983050847,-3.8718313559322035,-5.530215169491525,3.62192093220339,49.06971805084746
2002-05-31,Mkt_minus_RF,28.91494508474576,1.434099999999999,-14.692903728813558,-13.797569830508474,-14.510301016949152,-3.7919945762711866
2002-05-31,SMB,1.434099999999999,24.190578389830506,-8.649750847457625,-14.218927966101695,-1.7262864406779659,8.28840847457627
2002-05-31,HML,-14.692903728813558,-8.649750847457625,22.620311412429377,19.445458305084745,12.666483389830507,-4.384248700564972
2002-05-31,RMW,-13.797569830508474,-14.218927966101695,19.445458305084745,25.2297006779661,10.076471525423727,-5.659015932203389
2002-05-31,CMA,-14.510301016949152,-1.7262864406779659,12.666483389830507,10.076471525423727,11.892599322033899,3.2462030508474573
2002-05-31,MOM,-3.7919945762711866,8.28840847457627,-4.384248700564972,-5.659015932203389,3.2462030508474573,48.365785988700566
2002-06-30,Mkt_minus_RF,29.575429915254237,0.9517444915254226,-14.666164830508473,-14.205733983050846,-14.70400822033898,-4.41529906779661
2002-06-30,SMB,0.9517444915254226,24.38323940677966,-8.702352966101696,-14.024744491525423,-1.6275088983050847,8.535674152542372
2002-06-30,HML,-14.666164830508473,-8.702352966101696,22.614539971751412,19.407403248587563,12.649795338983049,-4.452572457627118
2002-06-30,RMW,-14.205733983050846,-14.024744491525423,19.407403248587563,25.41429861581921,10.168388898305086,-5.409192118644066
2002-06-30,CMA,-14.70400822033898,-1.6275088983050847,12.649795338983049,10.168388898305086,11.937992627118643,3.3733916101694907
2002-06-30,MOM,-4.41529906779661,8.535674152542372,-4.452572457627118,-5.409192118644066,3.3733916101694907,48.68309974576272
2002-07-31,Mkt_minus_RF,29.76956779661017,2.2961550847457617,-14.005167796610168,-14.55547033898305,-14.016822881355932,-4.981939830508474
2002-07-31,SMB,2.2961550847457617,25.00692822033898,-8.20225694915254,-14.418736864406778,-1.5976370338983048,8.401960084745761
2002-07-31,HML,-14.005167796610168,-8.20225694915254,22.951223276836153,19.168528248587567,12.769797853107345,-4.602726779661017
2002-07-31,RMW,-14.55547033898305,-14.418736864406778,19.168528248587567,25.570895903954803,10.034454943502825,-5.273286016949152
2002-07-31,CMA,-14.016822881355932,-1.5976370338983048,12.769797853107345,10.034454943502825,11.795971158192092,3.431115169491526
2002-07-31,MOM,-4.981939830508474,8.401960084745761,-4.602726779661017,-5.273286016949152,3.431115169491526,48.68309974576272
2002-08-31,Mkt_minus_RF,29.504951271186435,2.7729338983050837,-13.936731779661015,-14.674200847457627,-14.10433347457627,-5.265024152542373
2002-08-31,SMB,2.7729338983050837,24.151341694915253,-8.34712033898305,-14.20730779661017,-1.4207145762711864,8.915362033898303
2002-08-31,HML,-13.936731779661015,-8.34712033898305,23.067815677966095,19.214785593220334,12.672522457627117,-4.5503733050847455
2002-08-31,RMW,-14.674200847457627,-14.20730779661017,19.214785593220334,25.51942361581921,9.981304689265535,-5.402718248587569
2002-08-31,CMA,-14.10433347457627,-1.4207145762711864,12.672522457627117,9.981304689265535,11.874095225988698,3.3561217231638416
2002-08-31,MOM,-5.265024152542373,8.915362033898303,-4.5503733050847455,-5.402718248587569,3.3561217231638416,48.38349861581921
2002-09-30,Mkt_minus_RF,30.708617937853106,2.0782172316384173,-14.055624435028248,-14.870429096045195,-13.416489689265537,-6.502608898305084
2002-09-30,SMB,2.0782172316384173,24.201028361581923,-8.297169209039549,-13.996285988700564,-1.499139378531073,9.278337457627117
2002-09-30,HML,-14.055624435028248,-8.297169209039549,23.078567090395477,19.239364124293783,12.621512005649716,-4.446802118644068
2002-09-30,RMW,-14.870429096045195,-13.996285988700564,19.239364124293783,25.524204632768363,9.780505480225989,-5.1031849152542375
2002-09-30,CMA,-13.416489689265537,-1.499139378531073,12.621512005649716,9.780505480225989,11.978252514124293,2.967504491525424
2002-09-30,MOM,-6.502608898305084,9.278337457627117,-4.446802118644068,-5.1031849152542375,2.967504491525424,49.304602796610176
2002-10-31,Mkt_minus_RF,31.613052514124288,1.411278757062146,-14.577839435028249,-15.437064576271187,-13.358384689265534,-7.6540469491525425
2002-10-31,SMB,1.411278757062146,24.538815141242935,-7.92846361581921,-13.67119186440678,-1.4804931073446328,9.812901016949152
2002-10-31,HML,-14.577839435028249,-7.92846361581921,23.37834870056497,19.55667186440678,12.594502598870056,-3.815418983050847
2002-10-31,RMW,-15.437064576271187,-13.67119186440678,19.55667186440678,25.82335491525424,9.781132542372882,-4.571196949152541
2002-10-31,CMA,-13.358384689265534,-1.4804931073446328,12.594502598870056,9.781132542372882,11.957433785310736,3.01910406779661
2002-10-31,MOM,-7.6540469491525425,9.812901016949152,-3.815418983050847,-4.571196949152541,3.01910406779661,50.12823830508475
2002-11-30,Mkt_minus_RF,32.07978449152542,1.9721000847457617,-14.792419999999998,-16.573242118644067,-12.962886779661018,-9.443290508474576
2002-11-30,SMB,1.9721000847457617,24.17227059322034,-7.945458305084745,-13.924328898305085,-1.195804406779661,8.887357288135592
2002-11-30,HML,-14.792419999999998,-7.945458305084745,23.421250395480225,19.821598531073445,12.45677898305085,-3.2762431638418077
2002-11-30,RMW,-16.573242118644067,-13.924328898305085,19.821598531073445,27.40049861581921,9.022024067796611,-1.5243258757062141
2002-11-30,CMA,-12.962886779661018,-1.195804406779661,12.45677898305085,9.022024067796611,12.257675254237286,1.7271708474576275
2002-11-30,MOM,-9.443290508474576,8.887357288135592,-3.2762431638418077,-1.5243258757062141,1.7271708474576275,55.54650327683616
2002-12-31,Mkt_minus_RF,32.568304491525424,2.0076100847457616,-15.03459,-17.11297211864407,-12.751831779661016,-10.275460508474577
2002-12-31,SMB,2.0076100847457616,24.07663081920904,-7.801876779661018,-13.892952514124294,-1.1634083333333332,9.024892485875705
2002-12-31,HML,-15.03459,-7.801876779661018,23.27678881355932,19.973282542372882,12.324166949152543,-3.1886850847457624
2002-12-31,RMW,-17.11297211864407,-13.892952514124294,19.973282542372882,27.94604776836158,8.776584604519773,-0.7472775706214683
2002-12-31,CMA,-12.751831779661016,-1.1634083333333332,12.324166949152543,8.776584604519773,12.345895903954801,1.333264689265537
2002-12-31,MOM,-10.275460508474577,9.024892485875705,-3.1886850847457624,-0.7472775706214683,1.333264689265537,56.564823615819215
2003-01-31,Mkt_minus_RF,32.65532912429378,2.0070758474576262,-14.969526892655365,-17.050223926553674,-12.736242175141244,-10.26498850282486
2003-01-31,SMB,2.0070758474576262,24.02655805084746,-7.87153220338983,-13.895794491525423,-1.2102783898305085,8.982663983050847
2003-01-31,HML,-14.969526892655365,-7.87153220338983,23.229650395480228,20.01679785310734,12.27113265536723,-3.2391696045197738
2003-01-31,RMW,-17.050223926553674,-13.895794491525423,20.01679785310734,27.991171158192092,8.785530536723165,-0.7417954519774004
2003-01-31,CMA,-12.736242175141244,-1.2102783898305085,12.27113265536723,8.785530536723165,12.304998276836159,1.2957564689265546
2003-01-31,MOM,-10.26498850282486,8.982663983050847,-3.2391696045197738,-0.7417954519774004,1.2957564689265546,56.53058132768362
2003-02-28,Mkt_minus_RF,31.765395338983048,2.066074576271186,-14.755087711864407,-16.935955508474574,-12.272444067796608,-9.913806779661014
2003-02-28,SMB,2.066074576271186,24.055788022598875,-7.834162598870056,-13.903267231638416,-1.188682033898305,8.983062824858754
