,0
1992-02-29,0.014717384699112213
1992-03-31,-0.008075967677946494
1992-04-30,0.014269959819263933
1992-05-31,0.024055970137912164
1992-06-30,0.005780604729203942
1992-07-31,0.051000759266526696
1992-08-31,0.029599667771734728
1992-09-30,0.044525172415552206
1992-10-31,0.050819756103331226
1992-11-30,0.08360361042556863
1992-12-31,0.10316601398056435
1993-01-31,0.1268635652461092
1993-02-28,0.153069913355937
1993-03-31,0.1838883953601551
1993-04-30,0.17192464096961513
1993-05-31,0.19884705160892868
1993-06-30,0.2059562146249696
1993-07-31,0.21036398458942385
1993-08-31,0.2568843243371184
1993-09-30,0.2584805674290267
1993-10-31,0.2672584693868443
1993-11-30,0.22836630696136195
1993-12-31,0.24872406060712282
1994-01-31,0.28171350825327357
1994-02-28,0.24299973185291868
1994-03-31,0.1896057352481797
1994-04-30,0.21071184403190069
1994-05-31,0.202826122164659
1994-06-30,0.16934385080967185
1994-07-31,0.2111040459981821
1994-08-31,0.24684622535903444
1994-09-30,0.2223130017308721
1994-10-31,0.251168409134058
1994-11-30,0.21671473248093465
1994-12-31,0.22782404972999792
1995-01-31,0.2583861850569782
1995-02-28,0.29986218291588806
1995-03-31,0.32626913196585394
1995-04-30,0.3571626510212087
1995-05-31,0.41300670424957286
1995-06-30,0.43790258834233997
1995-07-31,0.48269644016367064
1995-08-31,0.5041207900541962
1995-09-30,0.5607653537881157
1995-10-31,0.552571335680728
1995-11-30,0.6078118238042483
1995-12-31,0.6568581234893969
1996-01-31,0.6969623743684579
1996-02-29,0.6956387437164504
1996-03-31,0.7056260559169405
1996-04-30,0.7298971146926385
1996-05-31,0.7619607577134666
1996-06-30,0.7795979848981782
1996-07-31,0.6829124263786601
1996-08-31,0.7321881022230272
1996-09-30,0.7952570710249678
1996-10-31,0.8456359434158787
1996-11-30,0.9409256274981372
1996-12-31,0.9283040451837152
1997-01-31,0.9864680127107714
1997-02-28,1.006400750900927
1997-03-31,0.9448744718745494
1997-04-30,0.9990602730485783
1997-05-31,1.120371736529099
1997-06-30,1.2080963531298097
1997-07-31,1.3434042292509996
1997-08-31,1.2769888065383648
1997-09-30,1.3991472874186615
1997-10-31,1.3508781530658567
1997-11-30,1.4626677182669203
1997-12-31,1.5547961176072858
1998-01-31,1.5196421230290094
1998-02-28,1.6670537854368215
1998-03-31,1.8213561821932687
1998-04-30,1.802142746592533
1998-05-31,1.7804401510201737
1998-06-30,1.8655077174406371
1998-07-31,1.7618049931464599
1998-08-31,1.4762619749050416
1998-09-30,1.6076771979132536
1998-10-31,1.7689881093761688
1998-11-30,1.8979121957487286
1998-12-31,2.005482696454923
1999-01-31,1.9749469922589515
1999-02-28,1.877553958830949
1999-03-31,2.008410264550997
1999-04-30,2.2061034412037466
1999-05-31,2.2161869178228906
1999-06-30,2.294264640751355
1999-07-31,2.2060298194534083
1999-08-31,2.1444810811053583
1999-09-30,2.061272661602487
1999-10-31,2.200040151352928
1999-11-30,2.201676849410909
1999-12-31,2.3055282320896593
2000-01-31,2.2401260178807667
2000-02-29,2.0995859932918344
2000-03-31,2.353622984935812
2000-04-30,2.3673622252573767
2000-05-31,2.3733106577313077
2000-06-30,2.3252020899209285
2000-07-31,2.3322798060975405
2000-08-31,2.515657635901008
2000-09-30,2.5874473648261063
2000-10-31,2.578654740910599
2000-11-30,2.420980747797497
2000-12-31,2.5200458603021483
2001-01-31,2.5840226881915296
2001-02-28,2.4675240307118638
2001-03-31,2.3350125998782096
2001-04-30,2.5257252954022453
2001-05-31,2.5411327149431533
2001-06-30,2.4287371625708576
2001-07-31,2.380546261750924
2001-08-31,2.227052558736123
2001-09-30,2.0048538548043466
2001-10-31,1.9912568911113575
2001-11-30,2.1402513968576145
2001-12-31,2.2256191310811886
2002-01-31,2.1362372249589283
2002-02-28,2.1276909785209153
2002-03-31,2.280697621190159
2002-04-30,2.1273501830071084
2002-05-31,2.0953784806413074
2002-06-30,1.8555288948518385
2002-07-31,1.587479538067849
2002-08-31,1.605089327799789
2002-09-30,1.3734593754281477
2002-10-31,1.5735062305913132
2002-11-30,1.6975137077721683
2002-12-31,1.6111860582107749
2003-01-31,1.5404742640834654
2003-02-28,1.47548893240821
2003-03-31,1.5349130442306693
2003-04-30,1.7163114216758162
2003-05-31,1.8898429768495757
2003-06-30,1.9365409687177162
2003-07-31,1.941560348187192
2003-08-31,1.9932141479013596
2003-09-30,1.9966563441714449
2003-10-31,2.1487163860112077
2003-11-30,2.206589793186094
2003-12-31,2.376574842577243
2004-01-31,2.408642573622128
2004-02-29,2.4904956099690456
2004-03-31,2.475237083058461
2004-04-30,2.457021228428131
2004-05-31,2.4623997352851554
2004-06-30,2.549961753754857
2004-07-31,2.4110254314291417
2004-08-31,2.4519567175388057
2004-09-30,2.4835428605419083
2004-10-31,2.5379067750139597
2004-11-30,2.7086878984529865
2004-12-31,2.850090464080386
2005-01-31,2.791502500210685
2005-02-28,2.8840031918111144
2005-03-31,2.7875910556237002
2005-04-30,2.694113308370395
2005-05-31,2.8338616148261484
2005-06-30,2.922124956660523
2005-07-31,3.093482596017136
2005-08-31,3.0354984150445645
2005-09-30,3.069013229381482
2005-10-31,2.8641384132821215
2005-11-30,2.972063799165105
2005-12-31,2.988806048078582
2006-01-31,3.115490528165588
2006-02-28,3.131648761488721
2006-03-31,3.136208066686981
2006-04-30,3.2004274408841438
2006-05-31,3.1447507751552264
2006-06-30,3.1785719414804925
2006-07-31,3.2488232597283515
2006-08-31,3.337197840606902
2006-09-30,3.374043275145233
2006-10-31,3.55119536425053
