,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
1992-02-29,1.7024046218818158,1.8923508172341987,1.9020295204089086,1.1280185231445068,1.8175383945771562,1.8439166832885419,1.246647178503997,0.6572690899332457,2.073824846415518,1.6800765246447715,1.7868883957703214,1.874349226195213,1.8923508172341987,2.1075973301484714,2.1142489106794966,1.2538774546842189,2.0203306676474626,2.056861531215527,1.380193681322919,0.7236586668661653,2.3052123405169134,1.8675314573060637,1.9862608880281922,2.0921192617037345,1.9020295204089088,2.1142489106794966,2.1250625438903983,1.2602905930890136,2.0306639423599724,2.0601353636554953,1.3928297095598976,0.7343408234661846,2.317002683932809,1.8770832182586745,1.9964199079031952,2.094136443214135,1.128018523144507,1.253877454684219,1.2602905930890138,0.7823497482044325,1.2043065140078617,1.20176952933919,0.8260322435120652,0.4355085146065259,1.3741227029377836,1.113223857442697,1.1839977308055176,1.2419495452571394,1.8175383945771564,2.0203306676474626,2.0306639423599724,1.2043065140078617,1.94045867433708,1.9686209290090562,1.3309580356505837,0.7017202556710354,2.214077801211437,1.7937002461813176,1.9077358134442404,2.0011116274402845,1.8439166832885419,2.056861531215527,2.0601353636554953,1.2017695293391897,1.968620929009056,2.037136606485316,1.340534826580636,0.6997126513224619,2.2462111435628715,1.8389731478282403,1.935423154862846,2.045319060302059,1.2466471785039972,1.380193681322919,1.3928297095598976,0.8260322435120651,1.3309580356505837,1.340534826580636,0.9203981147997111,0.49069195450502706,1.5186330325146808,1.2302966240798934,1.308513468687734,1.3608887201745767,0.6572690899332458,0.7236586668661653,0.7343408234661846,0.43550851460652584,0.7017202556710352,0.6997126513224619,0.49069195450502706,0.2655055685412709,0.8006680385875427,0.6486485963312542,0.6898868192697907,0.7090444232774689,2.0738248464155182,2.305212340516914,2.317002683932809,1.3741227029377836,2.2140778012114364,2.2462111435628715,1.5186330325146808,0.8006680385875427,2.5262792630675275,2.0466253415338995,2.1767407731916477,2.283283272484666,1.6800765246447715,1.8675314573060635,1.8770832182586745,1.113223857442697,1.7937002461813176,1.8389731478282405,1.2302966240798934,0.6486485963312542,2.0466253415338995,1.6814457293094451,1.7634522412041975,1.8497659683487884,1.7868883957703214,1.986260888028192,1.9964199079031952,1.1839977308055176,1.9077358134442401,1.935423154862846,1.308513468687734,0.6898868192697907,2.1767407731916473,1.7634522412041975,1.8755647734374485,1.9673659474720453,1.8743492261952133,2.0921192617037345,2.094136443214135,1.2419495452571394,2.0011116274402845,2.045319060302059,1.3608887201745767,0.7090444232774689,2.283283272484666,1.8497659683487886,1.9673659474720453,2.081832613725529
1992-03-31,1.6081910415492933,1.7440186039710655,1.8200821807772691,0.9876488005412348,1.7239339275127548,1.744005300765713,1.2514537904165406,0.5627273308004734,2.037031271497768,1.587349180287554,1.7506897306709712,1.7999012319339214,1.7440186039710655,1.915742356540277,1.973806035490523,1.0710654628906695,1.8695371158781542,1.916243863207889,1.3390936689764816,0.5992349470631132,2.209078612290012,1.7214164423853127,1.8985527099627746,1.976201346545542,1.820082180777269,1.9738060354905227,2.059891554669751,1.1177788809216207,1.9510750534218557,1.9737909794888515,1.4163421416705488,0.6368708449212586,2.3054253028094043,1.7964942491717184,1.98135613278525,2.0370516156127785,0.9876488005412347,1.0710654628906693,1.1177788809216207,0.6234234184946582,1.0587307301998323,1.052986514587622,0.7685634374924437,0.34559138742710305,1.251015233875179,0.9748490530333932,1.0751624452224906,1.1053850238462108,1.7239339275127548,1.869537115878154,1.9510750534218557,1.0587307301998323,1.8480069280615115,1.869522855229724,1.3415219910285656,0.6032272985248402,2.1836381559222913,1.7015920596541871,1.8766883692775167,1.92944166441421,1.7440053007657128,1.9162438632078886,1.9737909794888515,1.052986514587622,1.869522855229724,1.9364179864385593,1.3387018683678367,0.5989975020838428,2.2090617616518635,1.7253068838760075,1.898538227986197,1.9766993601795075,1.2514537904165406,1.3390936689764816,1.4163421416705488,0.7685634374924437,1.3415219910285656,1.3387018683678367,0.9872005643261023,0.44604791375124414,1.585166463467561,1.235235178571637,1.3623426836035792,1.3826862004683023,0.5627273308004733,0.5992349470631131,0.6368708449212586,0.34559138742710305,0.6032272985248402,0.5989975020838428,0.44604791375124414,0.2018780937144453,0.7127842032142658,0.555434487690594,0.6125895081788258,0.6188537547968467,2.037031271497768,2.209078612290012,2.3054253028094043,1.2510152338751792,2.1836381559222913,2.209061761651864,1.585166463467561,0.7127842032142659,2.580226038979975,2.0106317194237304,2.2175286616639593,2.279862902062045,1.5873491802875537,1.7214164423853124,1.7964942491717184,0.9748490530333932,1.7015920596541871,1.7253068838760077,1.2352351785716367,0.5554344876905941,2.0106317194237304,1.6163678049872887,1.728001112505405,1.776574841728028,1.7506897306709712,1.8985527099627746,1.9813561327852502,1.0751624452224908,1.876688369277517,1.8985382279861975,1.3623426836035795,0.612589508178826,2.21752866166396,1.728001112505405,1.9058149522609775,1.9593869892056364,1.7999012319339212,1.9762013465455417,2.0370516156127785,1.1053850238462108,1.92944166441421,1.9766993601795078,1.3826862004683023,0.6188537547968467,2.279862902062045,1.7765748417280278,1.9593869892056361,2.0386030308272
1992-04-30,1.5809319226058776,1.7247880861392924,1.8001881608486316,0.9943777810352128,1.6955631397862154,1.7274743903177163,1.2484488187923228,0.5689711167710579,1.9911335467110338,1.5692943375997561,1.7320259226668904,1.781503390849061,1.7247880861392921,1.906405005927555,1.9639954436006277,1.084860723809123,1.8498501175051945,1.9043857343313437,1.3467264068839526,0.6135152473252983,2.1723158158630107,1.7120915445090201,1.8896308143212903,1.965592904526623,1.8001881608486319,1.9639954436006282,2.0498526015705436,1.1322860163895765,1.930717348779488,1.967054305850981,1.4215936504785731,0.6478805656525586,2.267279815281037,1.7869365828082837,1.9722370809797145,2.0285764787594083,0.9943777810352128,1.0848607238091232,1.1322860163895763,0.6331800200104484,1.0664787575208186,1.07612364162765,0.7852518811312711,0.35787261201947224,1.252387234144607,0.9870579491123296,1.0894131929717075,1.1205336316944141,1.6955631397862152,1.8498501175051945,1.9307173487794878,1.0664787575208186,1.8185061101574092,1.8527312019352449,1.3389721396508365,0.6102264363223363,2.135507924104759,1.683081729365972,1.8576127596863736,1.9106777715948895,1.7274743903177163,1.9043857343313437,1.9670543058509808,1.07612364162765,1.852731201935245,1.9174207026836165,1.3519225143430211,0.6159325194563261,2.175699130659712,1.7147580742159558,1.8925738559581051,1.964209372045075,1.2484488187923228,1.3467264068839528,1.4215936504785731,0.7852518811312711,1.3389721396508367,1.3519225143430211,0.9954086071235797,0.453802222037226,1.5723816369978314,1.2392587144957765,1.3677664966793321,1.393183809959152,0.5689711167710579,0.6135152473252983,0.6478805656525586,0.35787261201947224,0.6102264363223364,0.6159325194563261,0.453802222037226,0.20688876575202425,0.7166010512616633,0.5647827961718149,0.62334924698834,0.6347145687448762,1.9911335467110338,2.172315815863011,2.267279815281037,1.2523872341446072,2.1355079241047594,2.175699130659712,1.5723816369978314,0.7166010512616633,2.5077694644201505,1.9764763780012042,2.1814316410985186,2.2437469408879376,1.5692943375997561,1.7120915445090203,1.7869365828082835,0.9870579491123295,1.6830817293659721,1.7147580742159558,1.2392587144957765,0.5647827961718149,1.976476378001204,1.5676611268717933,1.7192761017418896,1.7683893554796402,1.7320259226668904,1.8896308143212905,1.9722370809797145,1.0894131929717075,1.8576127596863738,1.8925738559581053,1.3677664966793324,0.6233492469883402,2.1814316410985186,1.7192761017418898,1.8975603907379406,1.9517665562622541,1.7815033908490607,1.965592904526623,2.028576478759408,1.1205336316944141,1.9106777715948895,1.964209372045075,1.393183809959152,0.6347145687448762,2.2437469408879376,1.7683893554796402,1.9517665562622541,2.027108355576102
1992-05-31,1.5822720816147997,1.7695497500709843,1.8002379075504724,0.9699137910915331,1.6950009080681887,1.7097864728726884,1.2684129510792246,0.5806303696323563,1.9866360099105025,1.5609411995250344,1.7362387748643089,1.776905647956146,1.769549750070984,1.9818915761875258,2.013314003570834,1.0847127536149341,1.8956211564961103,1.9163919997225254,1.4131487320579188,0.6470507498378755,2.2217741788323955,1.7399501664736454,1.94173993576956,1.991672949260499,1.8002379075504724,2.013314003570834,2.04822960692969,1.103524225743146,1.9284956888847413,1.9453180385646016,1.4431431253153353,0.6606150824708032,2.260304972262269,1.7759685906702207,1.9754142763359768,2.0216832128685325,0.969913791091533,1.0847127536149341,1.103524225743146,0.5945455102699393,1.0390152084148552,1.0480785821415322,0.7775219119048778,0.3559194462043836,1.2177840248086629,0.9568382164445378,1.064293525706489,1.0892218307120907,1.6950009080681887,1.8956211564961105,1.9284956888847415,1.0390152084148554,1.8157610892179137,1.83160005020391,1.3587809131351025,0.6219973260062902,2.12817370661226,1.6721503092791685,1.85993694397665,1.9035011246380509,1.7097864728726886,1.9163919997225256,1.9453180385646016,1.0480785821415322,1.83160005020391,1.8968140156740934,1.3445318318732153,0.6162777081154075,2.146737856108918,1.686736547341359,1.876161252817164,1.9416546481344603,1.2684129510792246,1.4131487320579188,1.443143125315335,0.7775219119048778,1.3587809131351023,1.3445318318732153,1.0500510302663388,0.4796500478659628,1.5925673424504583,1.2513132579133124,1.3918388460449067,1.3969965005442786,0.5806303696323563,0.6470507498378755,0.6606150824708032,0.35591944620438365,0.6219973260062901,0.6162777081154075,0.4796500478659628,0.21912855195431402,0.7290157073251713,0.5728027917484535,0.6371299685643544,0.6403352539264722,1.9866360099105025,2.2217741788323955,2.260304972262269,1.2177840248086629,2.12817370661226,2.1467378561089174,1.5925673424504583,0.7290157073251713,2.494338794024138,1.95985382815107,2.179950282904661,2.2310099428919963,1.5609411995250344,1.7399501664736456,1.775968590670221,0.9568382164445379,1.6721503092791685,1.686736547341359,1.2513132579133124,0.5728027917484536,1.9598538281510702,1.5562083607884634,1.712832241299922,1.7529508772807334,1.7362387748643087,1.94173993576956,1.9754142763359768,1.064293525706489,1.8599369439766498,1.8761612528171638,1.3918388460449067,0.6371299685643543,2.179950282904661,1.7128322412999217,1.9051875580499529,1.9498116165383481,1.7769056479561463,1.9916729492604992,2.0216832128685325,1.0892218307120909,1.9035011246380509,1.94165464813446,1.3969965005442786,0.6403352539264722,2.2310099428919963,1.7529508772807334,1.9498116165383483,2.0181369909247917
1992-06-30,1.5735486948068493,1.7769353064860989,1.794921525485837,0.9713521609526149,1.6939557653271542,1.7119229042690294,1.262298549907483,0.5729431360516322,1.9800271036061587,1.5555910760115421,1.7247712101690966,1.7729599518841441,1.7769353064860987,2.0114996788055466,2.026921341254821,1.0969027876446726,1.912905407356955,1.9410104151011494,1.4165404660773806,0.642759827938229,2.235952455623922,1.750263837731531,1.947703855034765,2.0093811882776644,1.794921525485837,2.026921341254821,2.047437930128923,1.1080056869387471,1.9322679218260628,1.9527627463870054,1.4398835233355227,0.6535469611918607,2.2585848668282344,1.7744375604019842,1.9674186009545618,2.0223867186085456,0.9713521609526149,1.0969027876446726,1.1080056869387471,0.5996160294887671,1.0456794877966236,1.0567706089642903,0.7792173373894172,0.3536779987447634,1.2222714252059876,0.9602669165747624,1.064701872700709,1.0944487998552221,1.693955765327154,1.9129054073569547,1.9322679218260623,1.0456794877966236,1.8235763178827644,1.8429182922985987,1.3588889325362488,0.6167844260062219,2.131537675781547,1.6746240395342056,1.8567497434166573,1.9086258608329574,1.7119229042690294,1.9410104151011496,1.9527627463870054,1.0567706089642903,1.8429182922985992,1.9262532511249084,1.342651589896514,0.6087543942499205,2.154146078175817,1.6923861342769246,1.8764435756306386,1.9538318409716706,1.262298549907483,1.4165404660773808,1.4398835233355227,0.7792173373894172,1.358888932536249,1.342651589896514,1.0475746040752603,0.4762352504090135,1.5883749577679027,1.2478929733657986,1.3836090390490714,1.3937940432027685,0.572943136051632,0.642759827938229,0.6535469611918606,0.35367799874476336,0.616784426006222,0.6087543942499204,0.47623525040901343,0.216515780095378,0.720945555705598,0.5664046066355686,0.6280046047428804,0.6320142977873922,1.9800271036061585,2.235952455623922,2.2585848668282344,1.2222714252059876,2.1315376757815474,2.154146078175817,1.5883749577679025,0.720945555705598,2.49150683671485,1.957430680598544,2.1703133528216636,2.2309501891644894,1.5555910760115421,1.750263837731531,1.774437560401984,0.9602669165747623,1.6746240395342058,1.6923861342769244,1.2478929733657986,0.5664046066355686,1.957430680598544,1.5534591416813313,1.7050878130149087,1.7527266162013295,1.7247712101690966,1.9477038550347652,1.9674186009545618,1.064701872700709,1.8567497434166578,1.8764435756306386,1.3836090390490714,0.6280046047428806,2.1703133528216636,1.705087813014909,1.8905266403549887,1.943346457522827,1.772959951884144,2.009381188277664,2.0223867186085456,1.0944487998552221,1.9086258608329574,1.9538318409716702,1.3937940432027682,0.6320142977873922,2.2309501891644894,1.7527266162013293,1.9433464575228268,2.0208296611845658
1992-07-31,1.5760392737314635,1.783837177157604,1.7960645730136782,0.9776158539808557,1.7039181007572322,1.714112386457473,1.2583383140880964,0.572358912708343,1.980235977577047,1.55660788516976,1.7181878044379957,1.7740013654376658,1.7838371771576038,2.0287323839345524,2.032872410807319,1.106512721082653,1.9285765942660258,1.943212412803166,1.4207247941393857,0.6460689482394185,2.2413264791197367,1.7471491059014588,1.9447277323480747,2.0106847174353155,1.7960645730136782,2.0328724108073195,2.046806830388954,1.1140973645880754,1.941796113266311,1.9534135873347283,1.4340104999086924,0.6522639272371583,2.256689756919881,1.7739204366448496,1.9580579600842154,2.0216634560106614,0.9776158539808557,1.106512721082653,1.1140973645880754,0.606414303173997,1.056938984294021,1.0632624912564899,0.7805462122853607,0.3550337587121959,1.2283387340463277,0.9655625797767127,1.0657904696487572,1.1004115752327681,1.7039181007572324,1.9285765942660262,1.9417961132663113,1.056938984294021,1.8421729346973268,1.8531943782732885,1.3604390867586809,0.6187997518516437,2.140911068780343,1.6829100616525068,1.8576004730838087,1.9179427110217573,1.7141123864574732,1.9432124128031663,1.9534135873347285,1.06326249125649,1.8531943782732883,1.933816936298113,1.334330180030927,0.605447071553732,2.1537198176775205,1.6929786594147298,1.8687142173013875,1.9564855556966925,1.2583383140880966,1.420724794139386,1.4340104999086924,0.7805462122853607,1.3604390867586809,1.334330180030927,1.0436352288239545,0.4763805316916763,1.5810562865107043,1.2428239413623245,1.3718322767454225,1.3856066467652424,0.572358912708343,0.6460689482394186,0.6522639272371584,0.3550337587121959,0.6187997518516437,0.605447071553732,0.4763805316916763,0.21751967775944167,0.7191481392138577,0.5653021542791842,0.6239819780940488,0.628919539136764,1.980235977577047,2.2413264791197367,2.256689756919881,1.2283387340463277,2.140911068780343,2.1537198176775205,1.5810562865107043,0.7191481392138576,2.4880944226765935,1.9558211451769245,2.1588404320195655,2.2289681397298935,1.55660788516976,1.747149105901459,1.7739204366448498,0.9655625797767128,1.6829100616525068,1.6929786594147298,1.2428239413623245,0.5653021542791842,1.9558211451769247,1.5604345488724722,1.6970038305317061,1.7521292519596832,1.718187804437996,1.9447277323480747,1.9580579600842156,1.0657904696487572,1.8576004730838085,1.8687142173013875,1.3718322767454223,0.6239819780940487,2.1588404320195655,1.6970038305317061,1.8731572115775026,1.9340047941411267,1.7740013654376658,2.0106847174353155,2.0216634560106614,1.1004115752327681,1.917942711021757,1.9564855556966922,1.3856066467652421,0.6289195391367639,2.2289681397298935,1.752129251959683,1.9340047941411265,2.0211624013007388
1992-08-31,1.5544773186744938,1.764172949846298,1.7719429437758538,0.967647811170061,1.6923038793769156,1.7236722678718288,1.2401108908012854,0.5823212828175782,1.9570676102685869,1.5458430265091585,1.7011664248003693,1.754687060637809,1.764172949846298,2.0120807800737905,2.010974217845739,1.098181409877274,1.9205920157538636,1.959066204008279,1.4040714415947404,0.6589990076953827,2.221071801806811,1.738803807988661,1.9306500994035967,1.9944256856223215,1.7719429437758538,2.010974217845739,2.019831205175987,1.1030181595219395,1.9290509303431964,1.9648076403211694,1.4135978158424718,0.6637858756144243,2.230854127524168,1.762100746084664,1.9391533130787466,2.000161287836085,0.967647811170061,1.098181409877274,1.1030181595219395,0.6023518485690298,1.0534435755614764,1.0729701084367953,0.7719576057341596,0.36248963426282343,1.2182565590619405,0.9622730438354602,1.0589604284466074,1.0922765312281453,1.6923038793769156,1.9205920157538636,1.9290509303431962,1.0534435755614766,1.8423507282796545,1.8765003713153017,1.3500643889420636,0.6339523607821036,2.1305895359634768,1.6829040341996762,1.8519990646182338,1.9102650673230215,1.723672267871829,1.9590662040082791,1.9648076403211696,1.0729701084367955,1.876500371315302,1.9642448393696101,1.3480927195686465,0.630482833908973,2.1700819469315986,1.7140981880320654,1.8863275483256343,1.9702962025664523,1.2401108908012854,1.4040714415947406,1.4135978158424718,0.7719576057341597,1.3500643889420638,1.3480927195686463,1.0205750802335192,0.4821784136616897,1.5612841875351469,1.2332227364229877,1.3571346362643069,1.3713244354158056,0.5823212828175782,0.6589990076953826,0.6637858756144241,0.36248963426282343,0.6339523607821036,0.6304828339089729,0.4821784136616896,0.22807782614481956,0.733135252397321,0.5790867987697652,0.6372723505677476,0.6412494369996172,1.957067610268587,2.221071801806811,2.230854127524168,1.2182565590619405,2.130589535963477,2.170081946931598,1.5612841875351469,0.7331352523973211,2.4639237801348846,1.9461971438221661,2.1417473704229497,2.20912918527487,1.5458430265091585,1.738803807988661,1.762100746084664,0.9622730438354603,1.6829040341996762,1.7140981880320652,1.2332227364229875,0.5790867987697652,1.9461971438221661,1.5625876918143489,1.69171735291162,1.7449407101711463,1.701166424800369,1.9306500994035967,1.9391533130787464,1.0589604284466074,1.8519990646182338,1.886327548325634,1.3571346362643066,0.6372723505677476,2.1417473704229493,1.6917173529116198,1.861697929009194,1.9202690690488935,1.7546870606378093,1.9944256856223217,2.000161287836085,1.0922765312281455,1.9102650673230217,1.970296202566452,1.3713244354158058,0.6412494369996173,2.20912918527487,1.7449407101711463,1.9202690690488937,2.0066835827197798
1992-09-30,1.5245421301590707,1.7543788558636928,1.7370528774459715,0.9436370788735643,1.6783193105253347,1.7368284210157081,1.2108532205433777,0.5904041997169722,1.9261763983582794,1.524995762697675,1.6926192030164382,1.7233155734392784,1.7543788558636928,2.033905777577623,1.998927270963924,1.085897795826755,1.931339156541485,2.0034613511892663,1.3879759666689886,0.6756777911838039,2.2165626512340832,1.7352226756801128,1.947794870379251,1.9890316026548123,1.7370528774459715,1.998927270963924,1.9791861696393385,1.0751736345593856,1.9122655451423871,1.9789304255176527,1.3796378790070798,0.6727025076489983,2.1946722160362064,1.7375697432582684,1.9285587448562236,1.96353397939735,0.9436370788735643,1.085897795826755,1.0751736345593854,0.584077618459861,1.03881965625704,1.0750347040529744,0.7494748576472473,0.36543909371496175,1.1922343331714682,0.9439178611983963,1.047670778513073,1.0666707344636557,1.6783193105253345,1.9313391565414848,1.912265545142387,1.0388196562570398,1.8476076537080246,1.9120184482902696,1.332989296948916,0.6499569607150585,2.1204655357773126,1.6788186999710972,1.863349944610639,1.8971425897757261,1.736828421015708,2.0034613511892663,1.9789304255176527,1.0750347040529744,1.9120184482902696,2.0131235547049875,1.356006998782029,0.6564649297596059,2.194388627495175,1.7373452200402537,1.928309542648827,1.9888508369242117,1.2108532205433777,1.3879759666689886,1.3796378790070798,0.7494748576472473,1.3329892969489163,1.356006998782029,0.9882470245317543,0.4871985648529226,1.5298474533094162,1.2112135139124136,1.3443468518066952,1.3397922577935903,0.5904041997169722,0.6756777911838039,0.6727025076489984,0.3654390937149618,0.6499569607150586,0.656464929759606,0.4871985648529226,0.24122930734502365,0.7459437246695059,0.5905798764336873,0.6554948310141022,0.6474564737133159,1.9261763983582794,2.2165626512340832,2.194672216036207,1.1922343331714684,2.120465535777313,2.194388627495175,1.5298474533094162,0.7459437246695058,2.433619540055187,1.9267495384979327,2.138532675327304,2.1773158765613485,1.524995762697675,1.735222675680113,1.7375697432582682,0.9439178611983963,1.6788186999710975,1.737345220040254,1.2112135139124136,0.5905798764336873,1.9267495384979325,1.553243198908223,1.6931228474423712,1.723828351671464,1.6926192030164384,1.9477948703792511,1.9285587448562238,1.047670778513073,1.8633499446106392,1.9283095426488275,1.3443468518066952,0.6554948310141022,2.138532675327304,1.6931228474423714,1.879226365571854,1.913306936395557,1.7233155734392784,1.9890316026548123,1.9635339793973499,1.0666707344636557,1.8971425897757261,1.9888508369242117,1.3397922577935901,0.6474564737133159,2.177315876561348,1.7238283516714639,1.9133069363955566,1.9795535388037706
1992-10-31,1.5169481395237292,1.7383847100094592,1.7364013675318328,0.9402065267266878,1.6751492397544974,1.7202666844832442,1.1971421333910053,0.5783895152902869,1.9261942629923465,1.5172623217399872,1.6795361707639247,1.7310190187684216,1.7383847100094592,2.008885073326523,1.989872632497886,1.0774532152601695,1.9196792227105899,1.9782955690188202,1.3653699302642541,0.6584193216376854,2.2073705541081585,1.7175662532085954,1.9247065361644624,1.9910824885216194,1.7364013675318326,1.989872632497886,1.987602364648442,1.0762239368862996,1.9174890393041804,1.9691335159249397,1.3703297979605058,0.6620637312172384,2.2048521404574766,1.7367610017314146,1.9225106170401396,1.9814413644732778,0.9402065267266879,1.0774532152601695,1.0762239368862996,0.5827412881609814,1.0382597845124228,1.0662236383172845,0.7419903277557812,0.358486610779555,1.1938578324618971,0.9404012572930209,1.0409788103379585,1.0728879497786141,1.6751492397544974,1.9196792227105899,1.9174890393041804,1.0382597845124226,1.8498489845085275,1.8996716852771607,1.3219909648708525,0.6387092159424085,2.1270752580138748,1.6754961877397292,1.854693424442779,1.911545370430996,1.7202666844832444,1.9782955690188206,1.9691335159249401,1.0662236383172845,1.8996716852771611,1.9867338012873053,1.3330558906685144,0.6393610889403162,2.1843646016196967,1.7206229769532397,1.904646602392662,1.9907779663064413,1.197142133391005,1.3653699302642541,1.370329797960506,0.7419903277557811,1.3219909648708525,1.3330558906685142,0.9679223300113794,0.4720745522094223,1.520110179935457,1.1973900790912206,1.3254530344108921,1.339890598357637,0.5783895152902869,0.6584193216376855,0.6620637312172384,0.35848661077955496,0.6387092159424085,0.6393610889403161,0.4720745522094223,0.2310671527205224,0.7344289083454506,0.5785093082449962,0.6403818867701345,0.6423474647421388,1.9261942629923465,2.2073705541081585,2.204852140457477,1.193857832461897,2.127075258013875,2.1843646016196963,1.520110179935457,0.7344289083454507,2.4458478454968904,1.9265932060852071,2.1326457064177045,2.1980177279687534,1.5172623217399872,1.7175662532085956,1.7367610017314146,0.9404012572930209,1.6754961877397294,1.7206229769532395,1.1973900790912206,0.5785093082449962,1.9265932060852071,1.54767608549881,1.6798840273469333,1.7313775382046048,1.6795361707639245,1.9247065361644624,1.9225106170401396,1.0409788103379582,1.854693424442779,1.9046466023926618,1.3254530344108921,0.6403818867701344,2.132645706417704,1.6798840273469333,1.8595505511414494,1.9165513827088632,1.7310190187684216,1.9910824885216198,1.981441364473278,1.0728879497786141,1.9115453704309964,1.9907779663064413,1.3398905983576372,0.6423474647421388,2.1980177279687534,1.731377538204605,1.9165513827088634,2.004914218473481
1992-11-30,1.5113443359342802,1.730782087689241,1.7412398727694294,0.9270459069751301,1.6780463190689514,1.716183343536588,1.209351664841216,0.5725696839427923,1.9149778161481221,1.5114173530103987,1.6774366656347188,1.7337612655279215,1.730782087689241,1.999548816006896,1.9940570196378267,1.0616471786797055,1.9216881568964301,1.97252558917941,1.377799215537196,0.651275815776404,2.193280737330048,1.7078736072535972,1.9209899855938488,1.9931997204027823,1.7412398727694294,1.9940570196378267,2.0061055726574932,1.0680618961098145,1.9332994405345667,1.9772376126988749,1.3933101074017487,0.6596651338252894,2.206271363623274,1.7413239967121388,1.9325970507197399,1.9974893699748362,0.92704590697513,1.0616471786797055,1.0680618961098143,0.5686421639368306,1.0292995016558555,1.0526924317753028,0.7418061419415408,0.3512094294706715,1.1746312896397992,0.9270906950356305,1.0289255453657893,1.0634745813144546,1.6780463190689514,1.92168815689643,1.9332994405345665,1.0292995016558555,1.8631356084714912,1.9054791644742994,1.3427437159065485,0.6357243863667447,2.1262007598682584,1.6781273899625238,1.8624587099799312,1.9249959394362435,1.716183343536588,1.97252558917941,1.9772376126988747,1.0526924317753028,1.9054791644742994,1.9863945520368362,1.3456564234651183,0.6330623596958408,2.175528232014602,1.7162662569315363,1.9047868820841893,1.998530468524966,1.209351664841216,1.377799215537196,1.3933101074017484,0.7418061419415408,1.3427437159065485,1.3456564234651183,0.9952276167773119,0.47522182083738007,1.5313298507827222,1.2094100918458806,1.3422558817458379,1.3576255990201014,0.5725696839427923,0.651275815776404,0.6596651338252894,0.3512094294706715,0.6357243863667447,0.6330623596958408,0.4752218208373801,0.22749230990695724,0.7248640852363214,0.5725973463114541,0.6354934204208291,0.6384222895899747,1.914977816148122,2.193280737330048,2.2062713636232734,1.1746312896397992,2.1262007598682584,2.175528232014602,1.5313298507827222,0.7248640852363213,2.4264458577096226,1.9150703338342918,2.1254282867962155,2.1978770167349975,1.5114173530103987,1.7078736072535974,1.7413239967121388,0.9270906950356306,1.6781273899625238,1.7162662569315366,1.2094100918458808,0.5725973463114542,1.915070333834292,1.5453459617478018,1.6775177070743077,1.7338450281591673,1.6774366656347188,1.9209899855938488,1.9325970507197396,1.0289255453657893,1.8624587099799312,1.9047868820841896,1.3422558817458379,0.6354934204208291,2.1254282867962155,1.6775177070743075,1.8617820574133408,1.9242965663784055,1.7337612655279215,1.9931997204027825,1.9974893699748362,1.0634745813144548,1.9249959394362437,1.9985304685249663,1.3576255990201016,0.6384222895899748,2.197877016734998,1.7338450281591673,1.9242965663784057,2.020957269332368
