,0,1,2,3,4,5,6,7,8,9,10,11
1992-02-29,5.342948306008566e-16,6.765421556309548e-17,2.82589642879589e-16,0.3,3.762647105823366e-16,0.0,0.2999999999999998,0.29999999999999954,8.933825901280557e-17,0.09999999999999977,9.740791181906485e-17,0.0
1992-03-31,1.8388068845354155e-16,0.0,2.5557368566464495e-16,0.3,6.865723112814399e-17,7.472876329406281e-17,0.2999999999999996,0.3,1.0595378586164534e-16,0.09999999999999953,1.0161697717170332e-16,0.0
1992-04-30,0.0,3.859759734048396e-16,1.1882855810441129e-16,0.2999999999999999,1.1102230246251565e-16,0.0,0.3,0.2999999999999996,6.938893903907228e-18,0.10000000000000028,1.0928757898653885e-16,0.0
1992-05-31,3.3306690738754696e-16,0.0,1.6297196050986684e-16,0.3,0.0,0.0,0.3,0.29999999999999977,1.529973005230002e-16,0.10000000000000045,0.0,0.0
1992-06-30,5.204170427930421e-17,0.0,0.0,0.3,2.949029909160572e-17,4.996003610813204e-16,0.3,0.29999999999999966,9.540979117872439e-18,0.09999999999999992,0.0,0.0
1992-07-31,0.0,0.0,0.0,0.3,7.45931094670027e-17,2.5587171270657905e-16,0.3,0.3,2.3809079707781677e-16,0.0999999999999997,0.0,3.209238430557093e-17
1992-08-31,1.0755285551056204e-16,0.0,0.0,0.29999999999999977,0.0,0.0,0.3,0.3,3.0270924655795284e-16,0.10000000000000071,0.0,0.0
1992-09-30,0.09999999999999973,3.469446951953614e-16,0.0,0.3,0.0,1.0495077029659683e-16,0.2999999999999996,0.3,2.0231212538579513e-16,0.0,1.2858637765678083e-16,0.0
1992-10-31,0.09999999999999919,5.546778314435841e-16,4.870236158804886e-16,0.29999999999999993,0.0,0.0,0.3,0.3,1.437652080715779e-16,1.5439038936193583e-16,0.0,0.0
1992-11-30,0.10000000000000048,3.911143814828851e-16,0.0,0.3,0.0,0.0,0.29999999999999977,0.3,2.745199900733297e-16,0.0,5.833007687972014e-17,0.0
1992-12-31,0.09999999999999984,2.3408076692896914e-16,0.0,0.3,1.2262478359745928e-16,7.699353313995813e-18,0.29999999999999993,0.3,0.0,0.0,1.1395116621757525e-16,0.0
1993-01-31,0.09999999999999996,4.939625097843958e-16,0.0,0.2999999999999999,3.7383290907300193e-16,0.0,0.29999999999999977,0.3,0.0,0.0,1.8171228410857054e-16,5.334274688628682e-17
1993-02-28,0.09999999999999994,0.0,3.439108584077832e-16,0.2999999999999998,1.1709383462843448e-17,1.8344893687992855e-16,0.3,0.29999999999999966,2.4721738828050704e-17,7.28583859910259e-17,0.0,7.025630077706069e-17
