,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
count,438.0,438.0,438.0,438.0,438.0,438.0,438.0
mean,0.71,0.08,0.12,0.38,0.24,0.45,0.24
std,4.54,3.01,3.21,2.54,2.16,4.6,0.2
min,-23.24,-15.35,-13.95,-18.73,-7.2,-34.3,0.0
25%,-1.96,-1.78,-1.67,-0.78,-1.02,-1.31,0.01
50%,1.19,0.02,-0.02,0.36,0.02,0.55,0.21
75%,3.48,1.86,1.65,1.42,1.45,2.78,0.41
max,13.65,18.34,12.75,13.09,9.05,18.2,0.79
