,Industry,Intercept,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,R^2,Adj_R^2,Residual_mean,Residual_std
0,NoDur,0.10303983724134828,0.8287092197840125,-0.02864850241084672,-0.0931259526864775,0.5564174418180452,0.4156231622865904,0.012471412712735589,0.7195925205991491,0.7156889361991373,1.2977949511600003e-15,1.4663761612219335
1,Durbl,0.18127361856479324,1.2796012620404535,0.3424257230637338,0.1394278754411528,0.28508417558943294,-0.01946991393407614,-0.3340778995856423,0.6321544446153355,0.6270336248187973,1.6060212520605003e-15,2.2223457142706002
2,Manuf,0.11185328541820257,1.151924949806912,0.23121699389945413,0.11138077016362423,0.32774453851006613,0.14247169622798567,-0.06692272416545494,0.8812014041000569,0.8795475953404289,1.7195783102870004e-15,1.3835083413770155
3,Enrgy,0.13445828626247902,0.9705959473705064,0.12019681414249057,0.5394852517625764,0.09402690466171762,0.3276718351510768,0.028569128480640697,0.4886113764622083,0.48149227729462885,1.5614095506143755e-15,2.148350539515572
4,Chems,0.018010098821236158,0.9396309333796911,0.00854161799162284,-0.0454138238118431,0.48723100911565176,0.3844852155995652,-0.017597860425696856,0.7490657832289889,0.7455724994688355,1.3302398249390003e-15,1.510964161381712
5,BusEq,0.7070942204373197,1.1173745887697812,0.0185253170929893,-0.4313834476634978,-0.3827396662116594,-0.3365943193236053,-0.0831394393112534,0.8568281034963227,0.8548349912480115,1.1031257084860002e-15,1.609179905940244
6,Telcm,0.14735075815899226,0.9380569100121458,-0.2533807682643275,-0.01664757369378002,-0.18145840238359667,0.29074000315577114,-0.06633670509554997,0.6570182040428787,0.6522435154680696,9.571237764805002e-16,1.7373373952851399
7,Utils,0.2136413582547801,0.5794400842974484,-0.18890243386584302,0.1321032940389178,0.16854684518698143,0.41676511073737355,0.08192720911996676,0.36506629052787953,0.35622730617327925,9.530681672581252e-16,1.7869132668901984
8,Shops,0.20156053952914602,0.9664801725524335,0.16184826446831188,-0.12676433135137216,0.4810373964841889,-0.04385828617152325,-0.02382051029061659,0.7953068431039051,0.7924572863953747,1.5167978491682504e-15,1.4947602404134557
9,Hlth,0.3098951772862253,0.8409340146571171,-0.12622620285769154,-0.3203300989467381,0.1941668458238021,0.42158099333914123,0.06803310471526888,0.5958622903858659,0.590236243384277,1.2329052036020003e-15,1.7032668731827163
10,Money,0.2319110106803765,1.080972746484551,-0.10149928489475091,0.7787585868462932,-0.054129885950485186,-0.3421051767512904,-0.042181271143565506,0.8689177600355051,0.8670929492703382,1.6060212520605003e-15,1.4298054835455674
11,Other,-0.04924372158753232,1.0701633960515704,0.1882847776633445,0.10945784321361769,0.14836120405817088,0.04749285109226946,-0.03831955179666491,0.8956785814788805,0.8942263111514402,1.4194632278312504e-15,1.2938663526816645
