,Industry,Intercept,Mkt_minus_RF,SMB,HML,MOM,R^2,Adj_R^2,Residual_mean,Residual_std
0,NoDur,0.429265013780006,0.7442780236776173,-0.2114941238235308,0.21912292733360803,0.05448038871852079,0.6226286737758806,0.619142564526697,3.2444873779000007e-16,1.5793930327693806
1,Durbl,0.2939981659319438,1.2612207315212096,0.24517758092100803,0.1977995796234846,-0.3260956730372513,0.6266371932434602,0.6231881141972104,6.205082110233752e-16,2.2306323939128347
2,Manuf,0.2800459124677045,1.1131475462507998,0.12194588322366376,0.25056072936341506,-0.04814105363025078,0.8653444583054204,0.8641005272043157,5.353404173535001e-16,1.4275292406100482
3,Enrgy,0.2498632392235392,0.928771692481419,0.09324826982963308,0.7048006791982372,0.050667164743263354,0.4823406855184108,0.47755861332920435,6.732311309142501e-16,2.154906285302086
4,Chems,0.30848129145335945,0.8634993123768422,-0.15125331825487215,0.23698989631807693,0.0203844335480173,0.6887112778293321,0.6858356314351457,5.191179804640001e-16,1.5946120401535764
5,BusEq,0.4708240146358993,1.1808790235906448,0.14352036348851233,-0.6683348312724514,-0.11498996908401073,0.8394442322468469,0.8379610380874645,2.2711411645300005e-16,1.6559477686446211
6,Telcm,0.14077399790046224,0.919961479641527,-0.1872108567728346,0.06788972030515762,-0.05520007833408577,0.6428104246153291,0.6395107518635077,2.7578142712150006e-16,1.755056467342624
7,Utils,0.3805643860019028,0.5227297488284519,-0.23982623764750985,0.35385282135325263,0.11159914406167558,0.33578132446670117,0.3296453551777099,4.745062790178751e-16,1.8071705789773473
8,Shops,0.3891896318689366,0.9366438131244013,-0.0024124572153924454,-0.033082315055098926,-0.010992908720611245,0.7523586632933703,0.7500709835085515,2.9200386401100006e-16,1.5676586072153114
9,Hlth,0.48848585455823795,0.7818690595465999,-0.1857887857630119,-0.09046437624928522,0.09880492080713608,0.5712675721804845,0.5673069954800732,2.2711411645300005e-16,1.7286096744382882
10,Money,0.12954016640703744,1.121477984588789,-0.08834008776330617,0.6164932777638534,-0.0638443864917681,0.8605754675943152,0.8592874811517685,7.3000966002750015e-16,1.4520306842855246
11,Other,0.022912077114738007,1.0544296412911918,0.13855982765874236,0.1650284975056125,-0.030808080411906236,0.8920410714686647,0.8910437603505923,2.8389264556625006e-16,1.3050005344490692
