Industry,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
NoDur,0.0,0.138408062626583,0.008373568617408914,0.07858678437692959,0.07104837324324896,0.00989018673766716
Durbl,0.0,0.2731067361402204,0.14154753756737798,0.11847452386969261,0.012245575535050757,0.020232669269742053
Manuf,0.0,0.15003585021966717,0.03681060706950826,0.038374451255905016,0.02975273204828453,0.0019493064249437543
Enrgy,0.0,0.23284503141556925,0.13072365942949488,0.19971996009285917,0.02155952674224836,0.03815481779893692
Chems,0.0,0.1403529120171223,0.01342520179476163,0.05342225277566919,0.04743721286501129,0.0002905733057404545
BusEq,0.0,0.12646177412515447,0.043631355004689475,0.21831239994021454,0.1639138013094806,0.1355166956611311
Telcm,0.0,0.12106359129714762,0.04727781777711122,0.019673249986195417,0.03729768968884215,0.03129897013952301
Utils,0.0,0.1175992118917213,0.014415123674840163,0.1555149748712278,0.0009158610387460658,0.036556045745896944
Shops,0.0,0.12606682327516172,0.013978528899344601,0.047379254788341436,0.05640453934637998,0.007975310312718328
Hlth,0.0,0.15773869521506015,0.04011501807494058,0.13729478808927684,0.00837478490421506,0.005578492466643768
Money,0.0,0.11653531080486153,0.07392138669260684,0.17985255042849604,0.002227736404853169,0.0
Other,0.0,0.12572533117199075,0.019258629857918184,0.023446654403783174,0.0,0.0
Mean,0.0,0.15216161085002164,0.04862320287166688,0.10583765373988258,0.03759815276053008,0.02395358898857862
