Industry,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
NoDur,0.36778855866462895,0.14834508175487587,0.17700378178740034,0.20541298362371058,0.3026452804071987,0.23654069226139632
Durbl,0.5193352435733062,0.22693299488906224,0.27354643238252335,0.4827210815537654,0.43423543234827333,0.4857544989272489
Manuf,0.269267521428392,0.12715035396332922,0.11978010922045411,0.10653285167737607,0.16251292964259856,0.1951722383967228
Enrgy,0.6678536542985696,0.25867449791370833,0.3040573173964099,0.4221459906626193,0.6521714747852012,0.6937893896350901
Chems,0.37598125246614994,0.13628696293354897,0.12052009718040486,0.15342523083071774,0.19997348000210766,0.3314342950150316
BusEq,0.6264599699748925,0.13831852361356348,0.21900768785301736,0.27821132690995315,0.24599533969513163,0.4306028319982062
Telcm,0.3231575281115465,0.13734918360045734,0.203140819531329,0.17932525910067348,0.26837385216624843,0.3513363334969152
Utils,0.3025414854211338,0.1541475462753216,0.20364219705045797,0.3955341870686486,0.3241040527829762,0.38995738258959867
Shops,0.29995937910376497,0.12264741408770065,0.15460811032380614,0.23611889482186071,0.13776327892663,0.31996614637118886
Hlth,0.39350736880688186,0.17164335210034887,0.19341997910345324,0.38897574637388677,0.3173156939277992,0.347644640421504
Money,0.33125198945012285,0.13197681515130302,0.15415665767914685,0.14997414970571168,0.191418129841379,0.3414524854819946
Other,0.1896832481729486,0.060179713817351876,0.12209163449175285,0.12708876064766797,0.14378503901114129,0.21247040272353143
Mean,0.3888989332893615,0.15113770334171428,0.1870812353333463,0.26045553858138265,0.2816911652947237,0.36134344477653574
