,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
1993-02-28,0.12,-3.45,6.42,-0.42,4.13,3.14,0.22
1993-03-31,2.3,0.09,1.18,-0.15,0.9,3.73,0.25
1993-04-30,-3.05,-0.85,2.49,-3.61,1.38,0.38,0.24
1993-05-31,2.89,1.9,-3.42,-0.12,-1.04,0.22,0.22
1993-06-30,0.31,0.13,2.75,-0.92,1.21,4.55,0.25
1993-07-31,-0.34,0.95,2.85,-1.87,2.06,3.16,0.24
1993-08-31,3.71,0.1,0.13,-1.54,-0.04,2.65,0.25
1993-09-30,-0.12,2.98,-0.31,0.24,-0.16,3.37,0.26
1993-10-31,1.41,1.89,-2.76,0.57,0.6,-2.72,0.22
1993-11-30,-1.89,-1.27,-0.74,2.23,-0.94,-4.74,0.25
1993-12-31,1.65,1.4,0.32,1.16,-0.34,2.36,0.23
1994-01-31,2.87,-0.06,1.15,-1.66,1.43,0.0,0.25
1994-02-28,-2.55,2.67,-1.54,2.14,-1.0,-0.3,0.21
1994-03-31,-4.78,-1.04,1.6,0.69,1.28,-1.27,0.27
1994-04-30,0.68,-1.01,1.66,1.07,1.11,0.39,0.27
1994-05-31,0.58,-2.56,0.67,0.6,0.68,-2.19,0.31
1994-06-30,-3.03,-0.5,1.67,1.21,1.47,-0.87,0.31
1994-07-31,2.82,-1.85,0.58,-0.65,0.14,0.18,0.28
1994-08-31,4.01,1.37,-2.51,0.95,-1.47,1.55,0.37
1994-09-30,-2.31,2.8,-1.89,0.52,0.93,1.31,0.37
1994-10-31,1.34,-2.3,-1.62,0.23,-0.68,1.49,0.38
1994-11-30,-4.04,0.07,-0.7,0.42,-0.5,-0.18,0.37
1994-12-31,0.86,0.0,-0.13,0.37,0.38,3.48,0.44
1995-01-31,1.8,-3.06,2.57,0.17,-0.75,-1.81,0.42
1995-02-28,3.63,-0.54,1.08,0.59,-0.33,-0.39,0.4
1995-03-31,2.19,-0.51,-2.15,-0.17,0.22,0.43,0.46
1995-04-30,2.11,-0.22,1.71,0.41,0.9,1.79,0.44
1995-05-31,2.9,-2.19,2.29,0.39,0.04,-0.42,0.54
1995-06-30,2.72,3.06,-2.54,-0.33,-2.44,2.93,0.47
1995-07-31,3.72,2.09,-1.62,0.3,-1.65,2.56,0.45
1995-08-31,0.55,1.75,2.79,-1.24,1.62,0.16,0.47
1995-09-30,3.35,-1.88,-0.04,1.03,0.36,2.9,0.43
1995-10-31,-1.52,-4.04,-0.5,1.91,-0.05,4.16,0.47
1995-11-30,3.96,-1.07,0.51,-0.62,1.12,-0.68,0.42
1995-12-31,1.03,0.72,0.22,-1.37,3.1,2.52,0.49
1996-01-31,2.26,-2.56,0.38,0.18,2.31,0.54,0.43
1996-02-29,1.33,1.77,-1.08,0.24,-1.9,0.59,0.39
1996-03-31,0.73,1.61,0.35,1.42,-0.95,-1.84,0.39
1996-04-30,2.06,4.71,-4.02,-0.14,-2.11,-0.88,0.46
1996-05-31,2.36,3.21,-0.83,0.12,-0.3,1.54,0.42
1996-06-30,-1.14,-3.65,2.35,3.51,1.22,0.98,0.4
1996-07-31,-5.97,-3.81,5.14,2.95,2.6,-0.16,0.45
1996-08-31,2.77,2.57,-0.74,-0.37,-2.42,0.01,0.41
1996-09-30,5.01,-1.39,-2.72,1.27,-2.22,2.7,0.44
1996-10-31,0.86,-3.77,4.94,1.4,3.25,3.79,0.42
1996-11-30,6.25,-3.8,1.39,2.12,-0.79,-2.37,0.41
1996-12-31,-1.7,3.25,1.31,0.37,1.49,0.63,0.46
1997-01-31,4.99,-1.82,-1.42,1.19,-0.02,1.96,0.45
1997-02-28,-0.49,-2.59,5.67,0.67,3.47,-2.13,0.39
1997-03-31,-5.03,-0.43,3.39,0.5,1.66,0.9,0.43
1997-04-30,4.04,-5.7,0.07,3.26,-0.72,4.84,0.43
1997-05-31,6.74,4.75,-4.13,-1.02,-2.96,-5.17,0.49
1997-06-30,4.1,1.19,1.58,0.56,0.66,2.6,0.37
1997-07-31,7.33,-2.77,0.26,0.07,-2.57,3.77,0.43
1997-08-31,-4.15,7.61,1.18,-1.11,-0.04,-2.56,0.41
1997-09-30,5.35,2.49,0.37,-1.63,-0.91,1.47,0.44
1997-10-31,-3.8,-0.52,2.27,1.0,1.94,-0.57,0.42
1997-11-30,2.98,-5.1,1.19,2.8,1.83,0.33,0.39
1997-12-31,1.32,-2.04,3.84,0.75,1.93,3.98,0.48
1998-01-31,0.15,-1.36,-1.63,0.86,-0.73,0.14,0.43
1998-02-28,7.04,0.2,-0.85,-0.31,-2.54,-1.12,0.39
1998-03-31,4.76,-0.65,1.39,-0.26,-0.37,2.15,0.39
1998-04-30,0.73,-0.01,0.94,-1.69,-0.36,0.74,0.43
1998-05-31,-3.07,-2.93,3.4,1.07,2.59,1.82,0.4
1998-06-30,3.18,-3.65,-1.97,-0.27,-2.97,7.28,0.41
1998-07-31,-2.46,-5.27,-1.78,1.74,0.45,3.69,0.4
1998-08-31,-16.08,-5.18,3.53,3.39,5.89,1.84,0.43
1998-09-30,6.15,-0.77,-3.42,-1.89,-2.97,-0.81,0.46
1998-10-31,7.13,-3.43,-2.23,0.93,0.32,-5.37,0.32
1998-11-30,6.1,0.74,-3.25,-0.85,-1.2,1.2,0.31
1998-12-31,6.16,-1.57,-4.19,-0.75,-3.4,8.92,0.38
1999-01-31,3.5,-0.74,-4.6,-2.79,-6.77,3.03,0.35
1999-02-28,-4.08,-5.23,1.92,-1.21,4.07,-0.1,0.35
1999-03-31,3.45,-4.23,-2.74,-4.07,-1.41,-1.27,0.43
1999-04-30,4.33,4.53,2.46,-2.53,0.9,-9.04,0.37
1999-05-31,-2.46,3.71,2.35,0.93,3.33,-5.19,0.34
1999-06-30,4.77,2.29,-3.19,1.14,-3.23,5.06,0.4
1999-07-31,-3.49,2.57,-0.44,0.36,3.22,1.66,0.38
1999-08-31,-1.38,-1.73,-1.87,-0.24,0.64,3.12,0.39
1999-09-30,-2.79,2.59,-3.5,-0.75,-1.23,6.47,0.39
1999-10-31,6.12,-6.91,-3.37,-1.75,-1.19,5.5,0.39
1999-11-30,3.37,5.8,-6.11,-4.27,-1.75,5.64,0.36
1999-12-31,7.72,5.39,-8.32,-7.6,-5.63,13.22,0.44
2000-01-31,-4.74,4.44,-1.91,-6.31,4.75,1.92,0.41
2000-02-29,2.45,18.34,-9.7,-18.73,-0.36,18.2,0.43
