,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
2017-03-31,0.17,0.74,-3.32,0.62,-0.94,-1.02,0.03
2017-04-30,1.09,0.47,-2.1,1.91,-1.6,0.48,0.05
2017-05-31,1.06,-3.03,-3.78,0.95,-1.81,1.48,0.06
2017-06-30,0.78,2.57,1.48,-2.25,0.01,-0.09,0.06
2017-07-31,1.87,-1.66,-0.24,-0.69,-0.11,1.68,0.07
2017-08-31,0.16,-1.83,-2.09,0.15,-2.37,3.26,0.09
2017-09-30,2.51,4.77,3.12,-1.46,1.67,-1.32,0.09
2017-10-31,2.25,-1.93,0.21,0.92,-3.24,4.27,0.09
2017-11-30,3.12,-0.36,-0.08,3.19,-0.08,-0.87,0.08
2017-12-31,1.06,-1.07,0.05,0.75,1.67,-1.54,0.09
2018-01-31,5.57,-3.2,-1.33,-0.73,-1.01,4.05,0.12
2018-02-28,-3.65,0.31,-1.07,0.54,-2.39,3.58,0.11
2018-03-31,-2.35,3.58,-0.23,-0.45,0.0,-1.13,0.11
2018-04-30,0.28,0.93,0.54,-2.43,1.27,0.36,0.14
2018-05-31,2.65,4.74,-3.18,-2.05,-1.47,3.89,0.14
2018-06-30,0.48,0.81,-2.33,0.78,0.24,-2.35,0.14
2018-07-31,3.19,-1.93,0.47,1.56,0.35,-1.41,0.16
2018-08-31,3.44,0.63,-3.98,-0.3,-2.66,5.29,0.16
2018-09-30,0.06,-2.49,-1.69,0.64,1.3,0.04,0.15
2018-10-31,-7.68,-4.46,3.44,0.94,3.6,-1.99,0.19
2018-11-30,1.69,-0.77,0.28,-0.56,0.36,-1.37,0.18
2018-12-31,-9.57,-2.87,-1.85,-0.03,0.22,2.11,0.2
2019-01-31,8.4,3.02,-0.46,-0.78,-1.51,-8.68,0.21
2019-02-28,3.4,1.74,-2.67,0.12,-1.6,0.86,0.18
2019-03-31,1.1,-3.5,-4.1,0.9,-0.96,2.21,0.19
2019-04-30,3.97,-1.17,2.14,1.62,-2.2,-2.97,0.21
2019-05-31,-6.94,-1.58,-2.35,-0.47,1.76,7.56,0.21
2019-06-30,6.93,0.36,-0.72,0.91,-0.43,-2.3,0.18
2019-07-31,1.19,-1.78,0.47,-0.07,0.37,2.89,0.19
2019-08-31,-2.58,-3.23,-4.77,0.55,-0.69,6.92,0.16
2019-09-30,1.43,0.27,6.74,1.84,3.36,-6.81,0.18
2019-10-31,2.06,0.27,-1.92,0.44,-0.96,0.15,0.16
2019-11-30,3.87,0.45,-2.0,-1.6,-1.25,-2.66,0.12
2019-12-31,2.77,0.97,1.77,0.0,1.23,-1.77,0.14
2020-01-31,-0.11,-4.38,-6.23,-1.17,-2.32,5.98,0.13
2020-02-29,-8.13,0.04,-3.79,-1.47,-2.51,-0.4,0.12
2020-03-31,-13.39,-8.3,-13.95,-1.52,1.26,7.97,0.13
2020-04-30,13.65,2.58,-1.26,2.71,-1.01,-5.23,0.0
2020-05-31,5.58,1.97,-4.89,0.96,-3.25,0.43,0.01
2020-06-30,2.46,1.97,-2.17,0.09,0.53,-0.73,0.01
2020-07-31,5.77,-3.2,-1.37,0.4,0.96,7.61,0.01
2020-08-31,7.63,-0.89,-2.96,4.26,-1.2,0.55,0.01
2020-09-30,-3.63,0.01,-2.68,-1.39,-1.89,3.12,0.01
2020-10-31,-2.1,4.64,4.22,-0.75,-0.76,-3.05,0.01
2020-11-30,12.47,7.12,2.13,-2.2,1.37,-12.43,0.01
2020-12-31,4.63,4.79,-1.5,-1.99,-0.11,-2.32,0.01
2021-01-31,-0.03,6.92,2.97,-3.81,4.9,4.5,0.01
2021-02-28,2.78,4.53,7.17,0.31,-1.94,-7.89,0.0
2021-03-31,3.08,-0.86,7.39,6.47,3.41,-6.14,0.0
2021-04-30,4.93,-3.15,-0.95,2.49,-2.69,1.16,0.0
2021-05-31,0.29,1.23,7.09,2.53,3.01,0.88,0.0
2021-06-30,2.75,-0.34,-7.83,-2.18,-0.95,2.2,0.0
2021-07-31,1.27,-4.63,-1.78,5.5,-0.52,-2.25,0.0
2021-08-31,2.91,-0.68,-0.15,-0.3,-1.79,2.51,0.0
2021-09-30,-4.37,1.13,5.09,-1.9,2.11,1.49,0.0
2021-10-31,6.65,-2.7,-0.49,1.69,-1.45,3.19,0.0
2021-11-30,-1.55,-1.77,-0.45,7.22,1.72,0.9,0.0
2021-12-31,3.1,-0.77,3.26,4.92,4.4,-2.6,0.01
2022-01-31,-6.25,-4.04,12.75,0.87,7.74,-2.52,0.0
2022-02-28,-2.29,2.94,3.08,-2.08,3.12,1.76,0.0
2022-03-31,3.05,-2.16,-1.8,-1.56,3.14,3.01,0.01
2022-04-30,-9.46,-0.41,6.17,3.63,5.89,4.87,0.01
2022-05-31,-0.34,-0.05,8.39,1.44,3.97,2.46,0.03
2022-06-30,-8.43,1.31,-5.98,1.86,-4.7,0.77,0.06
2022-07-31,9.57,1.86,-4.1,0.68,-6.92,-3.94,0.08
2022-08-31,-3.77,1.49,0.3,-4.78,1.29,1.99,0.19
2022-09-30,-9.35,-0.97,0.06,-1.51,-0.84,3.47,0.19
2022-10-31,7.83,1.86,8.05,3.07,6.52,3.87,0.23
2022-11-30,4.6,-2.67,1.38,6.01,3.11,-2.01,0.29
2022-12-31,-6.41,-0.16,1.32,0.09,4.19,4.52,0.33
2023-01-31,6.65,4.43,-4.05,-2.62,-4.53,-15.98,0.35
2023-02-28,-2.58,0.69,-0.78,0.9,-1.4,0.21,0.34
2023-03-31,2.51,-7.01,-9.01,1.92,-2.29,-2.5,0.36
2023-04-30,0.61,-2.56,-0.03,2.31,2.85,1.65,0.35
2023-05-31,0.35,-0.43,-7.8,-1.76,-7.2,-0.63,0.36
2023-06-30,6.46,1.33,-0.2,2.2,-1.75,-2.46,0.4
