,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.4787061322645419,1.035683821438785,0.08394620298665212,0.06272220075624937,0.24444601269140404,-0.0837661571777446,0.15715177590400317
1992-03-31,0.4533320431755408,1.0200694044684064,0.09857357676689209,0.06881851240843571,0.2638484585582334,-0.10039829701609464,0.16353173315456582
1992-04-30,0.4757208894542748,1.021043202587311,0.0936672332179083,0.1465440441301636,0.28342637356504863,-0.13004971912965232,0.17997168237219244
1992-05-31,0.5118294459902042,1.031121624526933,0.031024207032516016,0.24327799611785092,0.254753311448827,-0.23802782498826983,0.1745064720929187
1992-06-30,0.42828777376958466,1.0312465901469714,0.04573241028751007,0.26597010020559225,0.31052670643582275,-0.2442861862490606,0.1826012942661204
1992-07-31,0.3518509604596618,1.0324006439382447,0.07127040207883983,0.19187115464023605,0.34414718459942484,-0.17117003730336824,0.16973792421020645
1992-08-31,0.35306831399676525,1.0302949775374282,0.072475526294763,0.19418975102017022,0.3374084467112569,-0.18145482628645956,0.17283207621058205
1992-09-30,0.34809732074922195,1.0492147176787494,0.04609109110547852,0.1852076044917039,0.1973443668907226,-0.16870751119916172,0.17667362720411245
1992-10-31,0.3582402691496115,1.0528882799753445,0.03847753162946066,0.1780764859210191,0.19949172607532975,-0.1657519335929385,0.16665256025536204
1992-11-30,0.31533489168622825,1.0523139078050503,0.041500539430724584,0.2086169747852438,0.2240849689512008,-0.20536402635995987,0.17621011290836894
1992-12-31,0.2391564205476459,1.0615080638137913,0.036253880018696234,0.21153214762198747,0.2571974029076737,-0.1668975187013531,0.18106831445590355
1993-01-31,0.1661344074389104,1.082040691074607,0.005662219060304157,0.078772687570451,0.3382979689379047,0.005448176512801178,0.10784583045101778
1993-02-28,0.176191860835212,1.0541400114976993,-0.0401817685779615,-0.049786206836379014,0.34408495689685453,0.10179695432937817,-0.006402389683590113
1993-03-31,0.32800442117167916,1.1399627844352913,-0.10977275455829012,-0.03407769184069015,0.32433744814452786,0.300590715432907,-0.1383514149358286
1993-04-30,0.31845959424252634,1.1381195580803243,-0.11025991301699509,-0.047389012050091606,0.3391938620917296,0.3167240841078329,-0.1515718900105116
1993-05-31,0.5183867638352047,1.1125280792404189,-0.16002110758110774,-0.00023999543542590262,0.06875704282110237,0.14085443139454948,-0.13079525869313818
1993-06-30,0.46570585610430604,1.1054281500351268,-0.16676310015138152,0.04602375622539466,0.08381458642955947,0.09475299874777134,-0.11849992240469447
1993-07-31,0.49038545442602116,1.1064346907313773,-0.19187592162663533,0.028948849003774427,0.08114395894632556,0.10492074050425929,-0.14909745933643842
1993-08-31,0.4486962754003583,1.1084085866488673,-0.1943124965325903,0.005763595090932604,0.09027344585207152,0.1561321192113974,-0.14930013283859994
1993-09-30,0.4678470740227032,1.1015158634789228,-0.18958026046755697,0.009651454102988996,0.12385158436423395,0.18208035110146537,-0.16057649836107107
1993-10-31,0.4706949461243855,1.106966359725018,-0.20868635119539744,0.003404166038278612,0.11539613709547791,0.20188057649756494,-0.1778429381927184
1993-11-30,0.5529396232392404,1.130903336497545,-0.20172500088134995,-0.08732037792797372,0.16768629288699227,0.3664040279506295,-0.23016643897889086
1993-12-31,0.6241989394065273,1.1307926037784772,-0.2215544198990734,-0.08010070231706415,0.21510283571191963,0.38011896767674214,-0.25807737168555234
1994-01-31,0.6649655496781859,1.1283469672574087,-0.2227303842440144,-0.07688373713330866,0.2211610058045124,0.3853195239529578,-0.2596024445563352
1994-02-28,0.6746541625869583,1.1447814060039603,-0.25573717663203605,-0.06317136252244875,0.15993834332206594,0.38689085534440065,-0.26968059370988645
1994-03-31,0.6641980081700196,1.1130813374062,-0.2104680159385712,-0.06578859632048717,0.23123099166567357,0.37758785848741655,-0.25675790757601114
1994-04-30,0.646378861561644,1.1171896242727792,-0.2095733478576802,-0.06615888723683638,0.22557668464754949,0.37427374151419424,-0.2527341001398613
1994-05-31,0.6517154939062259,1.1202418126149152,-0.21617244260997506,-0.06465421205963072,0.24179588627087809,0.38856082950483795,-0.26393062944367957
1994-06-30,0.6412325865606288,1.118941667097284,-0.2112497478869962,-0.06317766295134324,0.24138966982839322,0.38250784413662137,-0.25804510178986595
1994-07-31,0.6506924137530782,1.132303794360543,-0.2155803577942469,-0.07652787760968001,0.21649329761372849,0.3853073016509655,-0.25382290517867007
1994-08-31,0.6663536487215467,1.1319445650836713,-0.21673250870155927,-0.07196947887165629,0.22407941250420618,0.3931950346978641,-0.25616322080454956
1994-09-30,0.7082183740351455,1.1622079900365059,-0.22999482458590975,-0.11600148801406832,0.24103330321602764,0.4463663802205383,-0.2514326127509055
1994-10-31,0.6219172102223669,1.1633389653811077,-0.21584369680576734,-0.17299191548858858,0.2647185900294962,0.5451152401786576,-0.25081518287663995
1994-11-30,0.6220491351181678,1.1595946859185697,-0.1896926923341066,-0.19824291093308286,0.3190174045630099,0.6010770017807451,-0.23766805006153002
1994-12-31,0.5957278164638832,1.1724975058927674,-0.19655082239826538,-0.20441294583881725,0.3208888623802436,0.6272531306627217,-0.2388436312754332
1995-01-31,0.6095022498062573,1.1722448077819474,-0.19355632299887368,-0.20340593616143327,0.3238575132376828,0.6259814490108799,-0.23084765224224305
1995-02-28,0.48336944311462365,1.1609924146396127,-0.13119355634013666,-0.2500259769150537,0.3751824686242042,0.6981166276562134,-0.2158492246560924
1995-03-31,0.5137197493860741,1.1541310286940243,-0.13654864052267104,-0.25377597330682755,0.3613587606129289,0.6935198484816592,-0.22243681724066927
